# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
muonsam,50,1.5888,0.02
muonsam,100,1.0460,0.02
muonsam,150,0.8623,0.02
muonsam,200,0.7138,0.02
muonsam,250,0.6566,0.02
muonsam,300,0.5841,0.02
muonsam,350,0.4970,0.02
muonsam,400,0.4648,0.02
muonsam,450,0.4252,0.02
muonsam,500,0.3965,0.02
muonsam,550,0.3879,0.02
muonsam,600,0.3751,0.02
muonsam,650,0.3105,0.02
muonsam,700,0.3031,0.02
muonsam,750,0.2829,0.02
muonsam,800,0.2754,0.02
muonsam,850,0.2445,0.02
muonsam,900,0.2502,0.02
muonsam,950,0.2216,0.02
muonsam,1000,0.2029,0.02
muonsam,1050,0.2023,0.02
muonsam,1100,0.1802,0.02
muonsam,1150,0.1768,0.02
muonsam,1200,0.1794,0.02
muonsam,1250,0.1731,0.02
muonsam,1300,0.1704,0.02
muonsam,1350,0.1719,0.02
muonsam,1400,0.1884,0.02
muonsam,1450,0.1701,0.02
muonsam,1500,0.1909,0.02
muonsam,1550,0.1677,0.02
muonsam,1600,0.1598,0.02
muonsam,1650,0.1470,0.02
muonsam,1700,0.1579,0.02
muonsam,1750,0.1375,0.02
muonsam,1800,0.1434,0.02
muonsam,1850,0.1532,0.02
muonsam,1900,0.1242,0.02
muonsam,1950,0.1446,0.02
muonsam,2000,0.1267,0.02
muonsam,2050,0.1248,0.02
muonsam,2100,0.1362,0.02
muonsam,2150,0.1226,0.02
muonsam,2200,0.1147,0.02
muonsam,2250,0.1226,0.02
muonsam,2300,0.1134,0.02
muonsam,2350,0.1013,0.02
muonsam,2400,0.1031,0.02
muonsam,2450,0.1094,0.02
muonsam,2500,0.1017,0.02
muonsam,2550,0.0890,0.02
muonsam,2600,0.0988,0.02
muonsam,2650,0.0944,0.02
muonsam,2700,0.0807,0.02
muonsam,2750,0.0923,0.02
muonsam,2800,0.0803,0.02
muonsam,2850,0.0867,0.02
muonsam,2900,0.0878,0.02
muonsam,2950,0.0908,0.02
muonsam,3000,0.0910,0.02
muonsam,3050,0.0795,0.02
muonsam,3100,0.0786,0.02
muonsam,3150,0.0810,0.02
muonsam,3200,0.0788,0.02
muonsam,3250,0.0754,0.02
muonsam,3300,0.0737,0.02
muonsam,3350,0.0775,0.02
muonsam,3400,0.0708,0.02
muonsam,3450,0.0702,0.02
muonsam,3500,0.0834,0.02
muonsam,3550,0.0756,0.02
muonsam,3600,0.0641,0.02
muonsam,3650,0.0713,0.02
muonsam,3700,0.0676,0.02
