optimizer,final_acc,final_test_loss,total_s,s_per_epoch,peak_mem_mb,lr
adamw,91.71,0.4113,2316.1,46.3,830,0.001
sam,90.33,0.2806,4427.6,88.6,834,0.05
muon,92.82,0.3916,3530.1,70.6,790,0.02
muon_nomom,91.22,0.4136,3508.6,70.2,742,0.02
muonsam_nomom,93.00,0.2258,4601.9,92.0,791,0.02
muonsam,93.65,0.2113,4791.4,95.8,833,0.02
