# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
muonsam,50,1.5740,0.02
muonsam,100,1.0446,0.02
muonsam,150,0.8732,0.02
muonsam,200,0.7628,0.02
muonsam,250,0.6400,0.02
muonsam,300,0.6011,0.02
muonsam,350,0.5150,0.02
muonsam,400,0.4857,0.02
muonsam,450,0.4696,0.02
muonsam,500,0.4024,0.02
muonsam,550,0.3650,0.02
muonsam,600,0.3221,0.02
muonsam,650,0.3206,0.02
muonsam,700,0.2984,0.02
muonsam,750,0.2946,0.02
muonsam,800,0.2504,0.02
muonsam,850,0.2283,0.02
muonsam,900,0.2373,0.02
muonsam,950,0.2393,0.02
muonsam,1000,0.2083,0.02
muonsam,1050,0.2041,0.02
muonsam,1100,0.1804,0.02
muonsam,1150,0.1681,0.02
muonsam,1200,0.1771,0.02
muonsam,1250,0.1734,0.02
muonsam,1300,0.1584,0.02
muonsam,1350,0.1832,0.02
muonsam,1400,0.2087,0.02
muonsam,1450,0.1895,0.02
muonsam,1500,0.2068,0.02
muonsam,1550,0.1891,0.02
muonsam,1600,0.1856,0.02
muonsam,1650,0.1546,0.02
muonsam,1700,0.1492,0.02
muonsam,1750,0.1438,0.02
muonsam,1800,0.1465,0.02
muonsam,1850,0.1351,0.02
muonsam,1900,0.1428,0.02
muonsam,1950,0.1504,0.02
muonsam,2000,0.1266,0.02
muonsam,2050,0.1076,0.02
muonsam,2100,0.1227,0.02
muonsam,2150,0.1187,0.02
muonsam,2200,0.1082,0.02
muonsam,2250,0.1100,0.02
muonsam,2300,0.1230,0.02
muonsam,2350,0.1059,0.02
muonsam,2400,0.1089,0.02
muonsam,2450,0.0954,0.02
muonsam,2500,0.0961,0.02
muonsam,2550,0.1026,0.02
muonsam,2600,0.1038,0.02
muonsam,2650,0.0933,0.02
muonsam,2700,0.0864,0.02
muonsam,2750,0.0936,0.02
muonsam,2800,0.0887,0.02
muonsam,2850,0.0859,0.02
muonsam,2900,0.0779,0.02
muonsam,2950,0.0819,0.02
muonsam,3000,0.0823,0.02
muonsam,3050,0.0774,0.02
muonsam,3100,0.0863,0.02
muonsam,3150,0.0762,0.02
muonsam,3200,0.0692,0.02
muonsam,3250,0.0720,0.02
muonsam,3300,0.0753,0.02
muonsam,3350,0.0714,0.02
muonsam,3400,0.0809,0.02
muonsam,3450,0.0756,0.02
muonsam,3500,0.0744,0.02
muonsam,3550,0.0733,0.02
muonsam,3600,0.0677,0.02
muonsam,3650,0.0705,0.02
muonsam,3700,0.0688,0.02
