# dataset=imagenette px=64 epochs=50 seed=1 batch=128 wd=0.0005 rho_max=0.1 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam,1,1.4402,59.16,1.3512,35.6,0.02
muonsam,2,0.9028,70.57,0.8747,71.4,0.02
muonsam,3,0.7151,74.98,0.7947,107.3,0.02
muonsam,4,0.6002,82.19,0.5567,142.9,0.02
muonsam,5,0.4986,80.94,0.5793,178.7,0.02
muonsam,6,0.4352,82.39,0.5527,214.5,0.02
muonsam,7,0.4054,80.56,0.6358,250.3,0.02
muonsam,8,0.3681,82.52,0.5717,286.1,0.02
muonsam,9,0.3250,85.86,0.4754,321.9,0.02
muonsam,10,0.2870,83.92,0.5236,357.7,0.02
muonsam,11,0.2714,85.02,0.4995,393.4,0.02
muonsam,12,0.2465,85.94,0.4416,429.1,0.02
muonsam,13,0.2234,87.13,0.4498,465.0,0.02
muonsam,14,0.2035,87.26,0.4515,500.8,0.02
muonsam,15,0.1844,86.65,0.4999,536.6,0.02
muonsam,16,0.1758,85.73,0.4880,582.2,0.02
muonsam,17,0.1748,89.38,0.3344,628.5,0.02
muonsam,18,0.1647,89.73,0.3331,674.8,0.02
muonsam,19,0.1843,89.20,0.3485,721.0,0.02
muonsam,20,0.1809,87.34,0.3900,767.2,0.02
muonsam,21,0.1705,88.59,0.3552,813.0,0.02
muonsam,22,0.1616,89.27,0.3490,859.3,0.02
muonsam,23,0.1475,89.32,0.3375,905.5,0.02
muonsam,24,0.1416,89.02,0.3384,951.8,0.02
muonsam,25,0.1483,90.34,0.3188,998.1,0.02
muonsam,26,0.1297,89.12,0.3524,1043.9,0.02
muonsam,27,0.1349,90.06,0.3084,1090.1,0.02
muonsam,28,0.1311,87.39,0.3963,1136.4,0.02
muonsam,29,0.1256,89.76,0.3257,1182.7,0.02
muonsam,30,0.1173,89.68,0.3446,1229.0,0.02
muonsam,31,0.1170,90.57,0.3197,1274.8,0.02
muonsam,32,0.1005,91.08,0.2852,1321.0,0.02
muonsam,33,0.1101,90.39,0.3092,1367.3,0.02
muonsam,34,0.0969,90.47,0.3017,1413.5,0.02
muonsam,35,0.0942,90.32,0.3138,1459.8,0.02
muonsam,36,0.0935,90.37,0.3100,1505.6,0.02
muonsam,37,0.0861,90.27,0.3019,1551.8,0.02
muonsam,38,0.0830,88.54,0.3395,1598.1,0.02
muonsam,39,0.0890,90.65,0.2957,1644.3,0.02
muonsam,40,0.0900,90.96,0.2878,1690.5,0.02
muonsam,41,0.0863,90.55,0.3046,1736.4,0.02
muonsam,42,0.0777,90.37,0.3015,1782.6,0.02
muonsam,43,0.0821,91.13,0.2931,1828.9,0.02
muonsam,44,0.0743,90.55,0.3028,1875.2,0.02
muonsam,45,0.0762,90.47,0.2907,1921.5,0.02
muonsam,46,0.0706,91.01,0.2955,1967.3,0.02
muonsam,47,0.0776,91.29,0.2910,2013.5,0.02
muonsam,48,0.0758,90.90,0.2924,2059.8,0.02
muonsam,49,0.0701,91.26,0.2832,2106.0,0.02
muonsam,50,0.0650,90.88,0.2946,2152.3,0.02
