optimizer,final_acc,final_test_loss,total_s,s_per_epoch,peak_mem_mb,lr
muonsam_nomom,90.19,0.3303,2575.3,51.5,2715,0.02
muon_nomom,86.78,0.5811,2180.9,43.6,2667,0.02
muon,89.17,0.4606,2192.4,43.8,2712,0.02
muonsam,90.39,0.2963,2625.1,52.5,2756,0.02
