# dataset=cifar100 px=32 epochs=50 seed=1 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
adamw,1,3.6751,20.85,3.2251,42.9,0.001
adamw,2,2.8344,28.25,2.9686,86.6,0.001
adamw,3,2.3225,39.27,2.3165,135.3,0.001
adamw,4,1.9905,45.96,1.9769,184.1,0.001
adamw,5,1.7348,48.81,1.9223,233.0,0.001
adamw,6,1.5534,52.67,1.7318,281.8,0.001
adamw,7,1.3969,55.15,1.6440,330.4,0.001
adamw,8,1.2729,57.27,1.5443,378.8,0.001
adamw,9,1.1636,57.73,1.5832,427.6,0.001
adamw,10,1.0573,60.04,1.5059,476.6,0.001
adamw,11,0.9813,60.25,1.4842,525.6,0.001
adamw,12,0.8928,61.52,1.4797,574.6,0.001
adamw,13,0.8196,64.17,1.3170,623.7,0.001
adamw,14,0.7433,63.64,1.3789,672.7,0.001
adamw,15,0.6786,64.00,1.3772,721.8,0.001
adamw,16,0.6204,65.89,1.3750,770.8,0.001
adamw,17,0.5539,65.17,1.4319,819.7,0.001
adamw,18,0.4978,66.10,1.4040,868.8,0.001
adamw,19,0.4551,65.64,1.4261,917.8,0.001
adamw,20,0.4114,65.04,1.5242,966.8,0.001
adamw,21,0.3771,65.59,1.5556,1015.7,0.001
adamw,22,0.3315,66.36,1.4796,1064.7,0.001
adamw,23,0.3062,66.16,1.5380,1113.6,0.001
adamw,24,0.2818,66.52,1.5906,1162.6,0.001
adamw,25,0.2555,66.16,1.6376,1211.5,0.001
adamw,26,0.2282,66.62,1.6901,1260.5,0.001
adamw,27,0.2215,66.56,1.6725,1309.5,0.001
adamw,28,0.1970,66.49,1.7217,1358.6,0.001
adamw,29,0.1953,67.41,1.7089,1407.5,0.001
adamw,30,0.1806,67.88,1.7315,1456.4,0.001
adamw,31,0.1760,67.75,1.7837,1505.3,0.001
adamw,32,0.1598,67.26,1.8470,1554.1,0.001
adamw,33,0.1483,67.15,1.8186,1602.9,0.001
adamw,34,0.1445,66.94,1.9198,1651.8,0.001
adamw,35,0.1363,66.84,1.9395,1700.6,0.001
adamw,36,0.1419,66.40,1.9734,1749.3,0.001
adamw,37,0.1402,67.38,1.8831,1798.0,0.001
adamw,38,0.1271,66.60,2.0539,1846.9,0.001
adamw,39,0.1229,67.86,1.9066,1895.8,0.001
adamw,40,0.1097,67.75,1.9454,1944.7,0.001
adamw,41,0.1142,66.12,2.0734,1993.6,0.001
adamw,42,0.1134,67.37,2.0181,2042.5,0.001
adamw,43,0.1049,68.64,1.9395,2091.4,0.001
