# dataset=cifar100 px=32 epochs=50 seed=2 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muon,46,0.0675,70.65,2.0436,3407.7,0.02
muon,47,0.0664,70.33,2.0302,3481.8,0.02
muon,48,0.0640,70.76,2.0128,3556.0,0.02
muon,49,0.0634,70.79,2.0265,3630.0,0.02
muon,50,0.0622,70.33,2.0588,3704.0,0.02
sam,1,3.8604,17.43,3.4278,95.8,0.05
sam,2,3.1612,26.17,2.8612,192.6,0.05
sam,3,2.6136,35.38,2.4704,289.8,0.05
sam,4,2.2099,42.90,2.0987,387.3,0.05
sam,5,1.9251,45.77,1.9875,484.7,0.05
sam,6,1.7338,51.87,1.7259,581.7,0.05
sam,7,1.5725,50.92,1.7989,678.4,0.05
sam,8,1.4602,54.78,1.6366,775.2,0.05
sam,9,1.3632,56.35,1.5339,872.3,0.05
sam,10,1.2721,58.91,1.4477,969.1,0.05
sam,11,1.2096,59.02,1.4385,1066.1,0.05
sam,12,1.1577,61.01,1.3841,1162.7,0.05
sam,13,1.0916,60.83,1.4318,1259.5,0.05
sam,14,1.0535,60.63,1.4019,1356.1,0.05
sam,15,1.0178,62.78,1.3149,1452.6,0.05
sam,16,0.9818,61.24,1.3725,1549.0,0.05
sam,17,0.9451,61.85,1.3556,1645.4,0.05
sam,18,0.9118,64.09,1.2938,1741.8,0.05
sam,19,0.8901,63.20,1.3122,1838.2,0.05
sam,20,0.8528,64.80,1.2639,1934.5,0.05
sam,21,0.8492,63.52,1.3279,2030.7,0.05
sam,22,0.8185,64.28,1.2799,2126.9,0.05
sam,23,0.7890,63.72,1.2870,2223.1,0.05
sam,24,0.7810,62.31,1.4079,2319.2,0.05
sam,25,0.7564,65.57,1.2656,2415.6,0.05
sam,26,0.7411,63.90,1.3100,2512.2,0.05
sam,27,0.7255,64.09,1.3010,2608.4,0.05
sam,28,0.7048,64.76,1.2795,2704.6,0.05
sam,29,0.6985,66.32,1.1958,2800.9,0.05
sam,30,0.6823,65.60,1.2579,2897.1,0.05
sam,31,0.6732,66.01,1.2378,2993.4,0.05
sam,32,0.6532,65.31,1.2877,3089.8,0.05
sam,33,0.6502,64.07,1.3449,3186.0,0.05
sam,34,0.6449,66.93,1.2160,3282.2,0.05
sam,35,0.6242,65.45,1.2734,3378.3,0.05
sam,36,0.6209,65.44,1.2461,3474.4,0.05
sam,37,0.6159,66.33,1.2394,3570.5,0.05
sam,38,0.6019,65.13,1.2793,3667.0,0.05
sam,39,0.5952,64.07,1.3727,3763.5,0.05
sam,40,0.5816,66.93,1.2061,3860.2,0.05
sam,41,0.5709,65.85,1.2452,3957.1,0.05
sam,42,0.5812,64.86,1.3194,4053.5,0.05
sam,43,0.5690,66.79,1.2280,4149.7,0.05
sam,44,0.5516,66.54,1.2649,4246.2,0.05
sam,45,0.5483,65.98,1.2503,4342.8,0.05
sam,46,0.5477,66.37,1.2458,4439.0,0.05
sam,47,0.5408,67.61,1.2196,4535.3,0.05
sam,48,0.5443,66.44,1.2793,4631.5,0.05
sam,49,0.5371,67.61,1.1925,4727.7,0.05
sam,50,0.5314,65.72,1.2673,4824.2,0.05
muonsam,1,3.0474,39.65,2.2800,74.1,0.02
muonsam,2,1.8672,53.58,1.6800,148.3,0.02
muonsam,3,1.4507,58.12,1.5046,222.4,0.02
muonsam,4,1.2117,60.89,1.4316,296.6,0.02
muonsam,5,1.0269,63.29,1.3324,370.7,0.02
muonsam,6,0.8761,65.45,1.2784,444.9,0.02
muonsam,7,0.7509,66.59,1.2828,519.1,0.02
muonsam,8,0.6442,67.61,1.2427,593.2,0.02
muonsam,9,0.5604,68.28,1.2474,667.4,0.02
muonsam,10,0.4842,68.55,1.2836,741.6,0.02
muonsam,11,0.4178,69.16,1.2968,815.7,0.02
muonsam,12,0.3646,68.86,1.3747,889.9,0.02
muonsam,13,0.3206,69.17,1.3486,963.9,0.02
muonsam,14,0.2922,69.35,1.4426,1038.1,0.02
muonsam,15,0.2688,69.58,1.4735,1112.3,0.02
muonsam,16,0.2385,69.98,1.3659,1223.6,0.02
muonsam,17,0.2140,71.16,1.2472,1335.1,0.02
muonsam,18,0.1937,71.22,1.1930,1446.7,0.02
muonsam,19,0.1758,72.05,1.1228,1558.3,0.02
muonsam,20,0.1633,71.64,1.1233,1670.2,0.02
muonsam,21,0.1529,72.35,1.0914,1782.0,0.02
muonsam,22,0.1402,72.87,1.0736,1893.9,0.02
muonsam,23,0.1320,73.10,1.0790,2005.6,0.02
muonsam,24,0.1218,72.99,1.0968,2117.5,0.02
muonsam,25,0.1136,72.73,1.0882,2229.2,0.02
muonsam,26,0.1037,72.39,1.0856,2341.0,0.02
muonsam,27,0.0997,72.68,1.1157,2452.8,0.02
muonsam,28,0.0918,73.13,1.1025,2564.7,0.02
muonsam,29,0.0863,72.89,1.1010,2676.7,0.02
muonsam,30,0.0843,72.99,1.1071,2788.8,0.02
muonsam,31,0.0787,72.97,1.1215,2900.7,0.02
muonsam,32,0.0753,72.77,1.1165,3012.8,0.02
muonsam,33,0.0731,73.69,1.0826,3124.5,0.02
muonsam,34,0.0674,72.67,1.1291,3236.2,0.02
muonsam,35,0.0643,73.50,1.0895,3348.2,0.02
muonsam,36,0.0606,73.55,1.0980,3459.9,0.02
muonsam,37,0.0584,72.98,1.1176,3571.7,0.02
muonsam,38,0.0564,73.43,1.1257,3683.3,0.02
muonsam,39,0.0553,73.29,1.0958,3794.9,0.02
muonsam,40,0.0526,73.38,1.1109,3907.1,0.02
muonsam,41,0.0524,73.69,1.1027,4018.8,0.02
muonsam,42,0.0507,73.58,1.0908,4130.4,0.02
muonsam,43,0.0467,73.79,1.1363,4242.2,0.02
muonsam,44,0.0461,74.09,1.1136,4353.6,0.02
muonsam,45,0.0442,73.85,1.1192,4465.7,0.02
muonsam,46,0.0435,73.64,1.1358,4577.3,0.02
muonsam,47,0.0419,73.93,1.1197,4689.0,0.02
muonsam,48,0.0400,73.31,1.1205,4800.7,0.02
muonsam,49,0.0384,73.33,1.1162,4912.3,0.02
muonsam,50,0.0377,73.96,1.1108,5024.3,0.02
