# dataset=cifar10 px=32 epochs=50 seed=0 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam,1,1.0389,74.91,0.7368,65.7,0.02
muonsam,2,0.5470,82.36,0.5121,139.1,0.02
muonsam,3,0.4153,85.09,0.4391,212.6,0.02
muonsam,4,0.3402,85.25,0.4835,286.7,0.02
muonsam,5,0.2882,88.42,0.3530,360.9,0.02
muonsam,6,0.2431,90.13,0.3062,435.0,0.02
muonsam,7,0.2130,90.31,0.3013,509.1,0.02
muonsam,8,0.1894,90.11,0.3178,583.3,0.02
muonsam,9,0.1672,90.23,0.3297,657.5,0.02
muonsam,10,0.1462,90.93,0.3150,731.6,0.02
muonsam,11,0.1334,91.46,0.2957,805.8,0.02
muonsam,12,0.1218,90.12,0.3638,879.9,0.02
muonsam,13,0.1080,90.89,0.3312,954.0,0.02
muonsam,14,0.1021,91.34,0.3355,1028.2,0.02
muonsam,15,0.0935,91.50,0.3224,1102.4,0.02
muonsam,16,0.0863,92.60,0.2324,1213.9,0.02
muonsam,17,0.0847,92.98,0.2130,1325.6,0.02
muonsam,18,0.0829,92.60,0.2251,1437.6,0.02
muonsam,19,0.0752,92.85,0.2190,1549.4,0.02
muonsam,20,0.0660,93.18,0.2120,1661.6,0.02
muonsam,21,0.0654,93.09,0.2181,1773.4,0.02
muonsam,22,0.0609,92.92,0.2231,1885.3,0.02
muonsam,23,0.0610,93.15,0.2210,1997.4,0.02
muonsam,24,0.0559,93.22,0.2151,2109.4,0.02
muonsam,25,0.0526,93.18,0.2137,2221.7,0.02
muonsam,26,0.0511,93.29,0.2152,2333.6,0.02
muonsam,27,0.0477,93.35,0.2156,2445.6,0.02
muonsam,28,0.0472,93.49,0.2086,2557.6,0.02
muonsam,29,0.0443,93.42,0.2161,2669.5,0.02
muonsam,30,0.0439,92.77,0.2392,2781.7,0.02
muonsam,31,0.0415,93.31,0.2198,2893.8,0.02
muonsam,32,0.0426,93.00,0.2386,3005.7,0.02
muonsam,33,0.0390,93.71,0.2041,3117.6,0.02
muonsam,34,0.0391,93.58,0.2036,3229.2,0.02
muonsam,35,0.0345,93.60,0.2180,3341.5,0.02
muonsam,36,0.0343,93.73,0.2148,3453.2,0.02
muonsam,37,0.0348,93.42,0.2078,3564.9,0.02
muonsam,38,0.0348,93.03,0.2238,3676.2,0.02
muonsam,39,0.0328,93.59,0.2121,3787.7,0.02
muonsam,40,0.0306,93.90,0.2060,3899.2,0.02
muonsam,41,0.0320,93.25,0.2108,4010.4,0.02
muonsam,42,0.0315,93.62,0.2114,4121.5,0.02
muonsam,43,0.0287,93.57,0.2132,4232.8,0.02
muonsam,44,0.0278,93.87,0.2054,4343.9,0.02
muonsam,45,0.0273,94.14,0.1947,4454.9,0.02
muonsam,46,0.0264,94.02,0.1916,4566.2,0.02
muonsam,47,0.0268,93.93,0.1975,4677.2,0.02
muonsam,48,0.0260,93.86,0.2060,4788.1,0.02
muonsam,49,0.0247,93.86,0.1973,4898.7,0.02
muonsam,50,0.0237,93.86,0.2038,5009.7,0.02
muon,1,1.0416,72.89,0.7994,74.1,0.02
muon,2,0.5512,82.20,0.5287,148.3,0.02
muon,3,0.4186,84.09,0.4657,222.4,0.02
muon,4,0.3431,86.28,0.4326,296.6,0.02
muon,5,0.2898,88.57,0.3506,370.7,0.02
muon,6,0.2475,89.83,0.3153,444.9,0.02
muon,7,0.2151,89.40,0.3295,519.1,0.02
muon,8,0.1929,89.08,0.3523,593.2,0.02
muon,9,0.1697,90.46,0.2988,667.3,0.02
muon,10,0.1473,90.32,0.3217,741.5,0.02
muon,11,0.1340,90.86,0.3175,815.7,0.02
muon,12,0.1256,91.11,0.3008,889.8,0.02
muon,13,0.1114,91.39,0.3086,964.0,0.02
muon,14,0.1046,91.75,0.2989,1038.1,0.02
muon,15,0.0968,91.80,0.3019,1112.3,0.02
muon,16,0.0861,91.87,0.3174,1186.5,0.02
muon,17,0.0823,91.59,0.3233,1260.6,0.02
muon,18,0.0753,92.06,0.3137,1334.8,0.02
muon,19,0.0737,91.80,0.3246,1409.0,0.02
muon,20,0.0656,92.08,0.3389,1483.2,0.02
muon,21,0.0638,92.40,0.3259,1557.3,0.02
muon,22,0.0604,92.26,0.3229,1631.5,0.02
muon,23,0.0562,91.76,0.3507,1705.7,0.02
muon,24,0.0565,92.19,0.3368,1779.8,0.02
muon,25,0.0507,92.57,0.3277,1853.9,0.02
muon,26,0.0479,92.39,0.3437,1928.1,0.02
muon,27,0.0490,92.38,0.3488,2002.3,0.02
muon,28,0.0478,92.95,0.3208,2076.5,0.02
muon,29,0.0424,92.86,0.3362,2150.7,0.02
muon,30,0.0430,92.57,0.3464,2224.8,0.02
muon,31,0.0427,92.50,0.3484,2298.9,0.02
muon,32,0.0399,92.89,0.3307,2373.1,0.02
muon,33,0.0379,92.48,0.3646,2447.2,0.02
muon,34,0.0371,92.49,0.3615,2521.3,0.02
muon,35,0.0355,92.82,0.3407,2595.4,0.02
muon,36,0.0355,92.47,0.3547,2669.5,0.02
muon,37,0.0348,92.70,0.3718,2743.7,0.02
muon,38,0.0344,92.43,0.3870,2817.9,0.02
muon,39,0.0336,93.26,0.3436,2891.9,0.02
muon,40,0.0325,92.68,0.3885,2966.1,0.02
muon,41,0.0330,92.91,0.3544,3040.3,0.02
muon,42,0.0329,92.78,0.3589,3114.4,0.02
muon,43,0.0280,92.79,0.3914,3188.5,0.02
muon,44,0.0310,93.35,0.3549,3262.7,0.02
muon,45,0.0276,93.16,0.3474,3336.9,0.02
muon,46,0.0255,93.21,0.3584,3411.0,0.02
muon,47,0.0258,93.04,0.3673,3485.2,0.02
muon,48,0.0277,92.88,0.3666,3559.3,0.02
muon,49,0.0254,92.45,0.3850,3633.5,0.02
muon,50,0.0253,92.64,0.3929,3707.7,0.02
adamw,1,1.3297,63.37,1.0616,50.2,0.001
adamw,2,0.8703,71.09,0.8772,100.5,0.001
adamw,3,0.6761,75.27,0.7360,150.7,0.001
adamw,4,0.5721,77.90,0.6764,200.8,0.001
adamw,5,0.4983,81.94,0.5367,250.6,0.001
adamw,6,0.4369,82.98,0.5011,300.6,0.001
adamw,7,0.3960,84.28,0.4781,350.7,0.001
adamw,8,0.3627,85.32,0.4394,400.6,0.001
adamw,9,0.3324,87.19,0.4062,450.6,0.001
adamw,10,0.3037,87.71,0.3839,500.8,0.001
adamw,11,0.2757,86.44,0.4288,550.9,0.001
adamw,12,0.2589,88.16,0.3811,601.0,0.001
adamw,13,0.2409,87.58,0.4113,651.4,0.001
adamw,14,0.2246,88.00,0.3832,701.2,0.001
adamw,15,0.2101,89.86,0.3246,750.8,0.001
adamw,16,0.1893,88.59,0.3915,800.3,0.001
adamw,17,0.1840,90.23,0.3188,849.8,0.001
adamw,18,0.1651,90.66,0.3216,899.3,0.001
adamw,19,0.1573,89.87,0.3331,949.3,0.001
adamw,20,0.1453,89.96,0.3581,999.5,0.001
adamw,21,0.1387,90.09,0.3387,1049.8,0.001
adamw,22,0.1343,89.53,0.3593,1100.1,0.001
adamw,23,0.1184,90.01,0.3746,1150.4,0.001
adamw,24,0.1110,89.94,0.3674,1200.7,0.001
adamw,25,0.1047,91.11,0.3271,1251.0,0.001
adamw,26,0.1024,90.09,0.3820,1301.3,0.001
adamw,27,0.0960,91.20,0.3378,1351.4,0.001
adamw,28,0.0893,90.08,0.3777,1400.9,0.001
adamw,29,0.0860,89.21,0.4438,1450.4,0.001
adamw,30,0.0827,91.16,0.3542,1499.7,0.001
adamw,31,0.0774,87.73,0.5623,1549.0,0.001
adamw,32,0.0746,91.77,0.3346,1598.3,0.001
adamw,33,0.0725,91.27,0.3559,1647.9,0.001
adamw,34,0.0682,91.32,0.3620,1698.0,0.001
adamw,35,0.0613,90.95,0.4069,1748.2,0.001
adamw,36,0.0624,91.80,0.3501,1798.5,0.001
adamw,37,0.0625,91.69,0.3442,1848.4,0.001
adamw,38,0.0547,91.60,0.3778,1897.8,0.001
adamw,39,0.0569,91.42,0.3938,1946.9,0.001
adamw,40,0.0561,91.69,0.3518,1996.3,0.001
adamw,41,0.0506,91.62,0.3639,2046.0,0.001
adamw,42,0.0503,91.20,0.4179,2096.2,0.001
adamw,43,0.0462,91.54,0.3949,2146.3,0.001
adamw,44,0.0477,91.12,0.3968,2196.5,0.001
adamw,45,0.0443,91.47,0.3887,2246.6,0.001
adamw,46,0.0408,91.45,0.4025,2296.7,0.001
adamw,47,0.0436,91.84,0.3942,2347.0,0.001
adamw,48,0.0417,91.51,0.4106,2397.2,0.001
adamw,49,0.0397,91.78,0.3861,2447.4,0.001
adamw,50,0.0366,92.03,0.3834,2497.7,0.001
sam,1,1.8622,44.45,1.4835,95.8,0.05
sam,2,1.2942,58.81,1.1296,191.9,0.05
sam,3,1.0092,65.76,0.9882,287.7,0.05
sam,4,0.8215,73.11,0.7898,383.6,0.05
sam,5,0.6881,77.25,0.6627,479.4,0.05
sam,6,0.5932,80.29,0.5751,575.2,0.05
sam,7,0.5283,82.27,0.5159,670.9,0.05
sam,8,0.4798,82.16,0.5192,766.3,0.05
sam,9,0.4400,85.11,0.4441,861.8,0.05
sam,10,0.4047,84.20,0.4669,957.3,0.05
sam,11,0.3790,85.69,0.4115,1052.8,0.05
sam,12,0.3573,86.43,0.3977,1147.9,0.05
sam,13,0.3345,82.98,0.5041,1243.2,0.05
sam,14,0.3239,83.17,0.4942,1338.7,0.05
sam,15,0.3070,86.83,0.3977,1434.2,0.05
sam,16,0.2947,87.05,0.3753,1529.8,0.05
sam,17,0.2861,87.92,0.3525,1625.3,0.05
sam,18,0.2741,87.50,0.3604,1720.7,0.05
sam,19,0.2659,83.80,0.4786,1816.3,0.05
sam,20,0.2620,88.88,0.3431,1911.9,0.05
sam,21,0.2518,88.44,0.3417,2007.4,0.05
sam,22,0.2507,87.06,0.3757,2102.7,0.05
sam,23,0.2449,86.57,0.3945,2198.3,0.05
sam,24,0.2403,89.61,0.3088,2293.8,0.05
sam,25,0.2299,90.78,0.2764,2389.2,0.05
sam,26,0.2265,88.96,0.3354,2484.1,0.05
sam,27,0.2228,88.41,0.3460,2579.2,0.05
sam,28,0.2176,88.49,0.3391,2674.3,0.05
sam,29,0.2126,90.10,0.2939,2769.3,0.05
