# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
muonsam,50,4.2429,0.02
muonsam,100,3.6694,0.02
muonsam,150,3.2876,0.02
muonsam,200,3.0358,0.02
muonsam,250,2.8011,0.02
muonsam,300,2.5709,0.02
muonsam,350,2.4434,0.02
muonsam,400,2.2698,0.02
muonsam,450,2.0655,0.02
muonsam,500,1.9789,0.02
muonsam,550,1.9564,0.02
muonsam,600,1.8830,0.02
muonsam,650,1.8506,0.02
muonsam,700,1.7628,0.02
muonsam,750,1.7384,0.02
muonsam,800,1.6436,0.02
muonsam,850,1.4914,0.02
muonsam,900,1.5130,0.02
muonsam,950,1.4780,0.02
muonsam,1000,1.4679,0.02
muonsam,1050,1.4728,0.02
muonsam,1100,1.4158,0.02
muonsam,1150,1.4238,0.02
muonsam,1200,1.3176,0.02
muonsam,1250,1.2035,0.02
muonsam,1300,1.2471,0.02
muonsam,1350,1.2527,0.02
muonsam,1400,1.1907,0.02
muonsam,1450,1.1909,0.02
muonsam,1500,1.2277,0.02
muonsam,1550,1.1950,0.02
muonsam,1600,1.0781,0.02
muonsam,1650,1.0004,0.02
muonsam,1700,1.0149,0.02
muonsam,1750,1.0508,0.02
muonsam,1800,1.0145,0.02
muonsam,1850,1.0351,0.02
muonsam,1900,1.0504,0.02
muonsam,1950,1.0210,0.02
muonsam,2000,0.8615,0.02
muonsam,2050,0.8572,0.02
muonsam,2100,0.8662,0.02
muonsam,2150,0.8932,0.02
muonsam,2200,0.9003,0.02
muonsam,2250,0.8952,0.02
muonsam,2300,0.8784,0.02
muonsam,2350,0.8989,0.02
muonsam,2400,0.7078,0.02
muonsam,2450,0.6846,0.02
muonsam,2500,0.7490,0.02
muonsam,2550,0.7491,0.02
muonsam,2600,0.7699,0.02
muonsam,2650,0.7858,0.02
muonsam,2700,0.7916,0.02
muonsam,2750,0.7411,0.02
muonsam,2800,0.6019,0.02
muonsam,2850,0.6220,0.02
muonsam,2900,0.6501,0.02
muonsam,2950,0.6328,0.02
muonsam,3000,0.6919,0.02
muonsam,3050,0.6908,0.02
muonsam,3100,0.6553,0.02
muonsam,3150,0.6126,0.02
muonsam,3200,0.5236,0.02
muonsam,3250,0.5525,0.02
muonsam,3300,0.5523,0.02
muonsam,3350,0.5944,0.02
muonsam,3400,0.6006,0.02
muonsam,3450,0.5572,0.02
muonsam,3500,0.6040,0.02
muonsam,3550,0.5032,0.02
muonsam,3600,0.4623,0.02
muonsam,3650,0.4575,0.02
muonsam,3700,0.4793,0.02
muonsam,3750,0.4826,0.02
muonsam,3800,0.5038,0.02
muonsam,3850,0.5234,0.02
muonsam,3900,0.5104,0.02
muonsam,3950,0.4069,0.02
muonsam,4000,0.3961,0.02
muonsam,4050,0.3778,0.02
muonsam,4100,0.4147,0.02
muonsam,4150,0.4348,0.02
muonsam,4200,0.4348,0.02
muonsam,4250,0.4399,0.02
muonsam,4300,0.4623,0.02
muonsam,4350,0.3189,0.02
muonsam,4400,0.3318,0.02
muonsam,4450,0.3725,0.02
muonsam,4500,0.3718,0.02
muonsam,4550,0.3742,0.02
muonsam,4600,0.3753,0.02
muonsam,4650,0.3965,0.02
muonsam,4700,0.3832,0.02
muonsam,4750,0.2864,0.02
muonsam,4800,0.2897,0.02
muonsam,4850,0.3072,0.02
muonsam,4900,0.3179,0.02
muonsam,4950,0.3296,0.02
muonsam,5000,0.3420,0.02
muonsam,5050,0.3467,0.02
muonsam,5100,0.3189,0.02
muonsam,5150,0.2636,0.02
muonsam,5200,0.2802,0.02
muonsam,5250,0.2694,0.02
muonsam,5300,0.3071,0.02
muonsam,5350,0.3133,0.02
muonsam,5400,0.3114,0.02
muonsam,5450,0.3243,0.02
muonsam,5500,0.2720,0.02
muonsam,5550,0.2290,0.02
muonsam,5600,0.2368,0.02
muonsam,5650,0.2654,0.02
muonsam,5700,0.2602,0.02
muonsam,5750,0.2811,0.02
muonsam,5800,0.2888,0.02
muonsam,5850,0.2771,0.02
muonsam,5900,0.2273,0.02
muonsam,5950,0.2251,0.02
muonsam,6000,0.2330,0.02
muonsam,6050,0.2388,0.02
muonsam,6100,0.2542,0.02
muonsam,6150,0.2413,0.02
muonsam,6200,0.2545,0.02
muonsam,6250,0.2691,0.02
muonsam,6300,0.1971,0.02
muonsam,6350,0.2073,0.02
muonsam,6400,0.2187,0.02
muonsam,6450,0.2261,0.02
muonsam,6500,0.2293,0.02
muonsam,6550,0.2443,0.02
muonsam,6600,0.2640,0.02
muonsam,6650,0.2457,0.02
muonsam,6700,0.1947,0.02
muonsam,6750,0.2150,0.02
muonsam,6800,0.2281,0.02
muonsam,6850,0.2392,0.02
muonsam,6900,0.2434,0.02
muonsam,6950,0.2680,0.02
muonsam,7000,0.2854,0.02
muonsam,7050,0.2707,0.02
muonsam,7100,0.2324,0.02
muonsam,7150,0.2375,0.02
muonsam,7200,0.2480,0.02
muonsam,7250,0.2689,0.02
muonsam,7300,0.2773,0.02
muonsam,7350,0.2976,0.02
muonsam,7400,0.3087,0.02
muonsam,7450,0.2848,0.02
muonsam,7500,0.2568,0.02
muonsam,7550,0.2703,0.02
muonsam,7600,0.2891,0.02
muonsam,7650,0.2997,0.02
muonsam,7700,0.3141,0.02
muonsam,7750,0.3317,0.02
muonsam,7800,0.3427,0.02
muonsam,7850,0.3130,0.02
muonsam,7900,0.2913,0.02
muonsam,7950,0.2991,0.02
muonsam,8000,0.3169,0.02
muonsam,8050,0.3348,0.02
muonsam,8100,0.3511,0.02
muonsam,8150,0.3676,0.02
muonsam,8200,0.3756,0.02
muonsam,8250,0.3414,0.02
muonsam,8300,0.3188,0.02
muonsam,8350,0.3287,0.02
muonsam,8400,0.3528,0.02
muonsam,8450,0.3707,0.02
muonsam,8500,0.3797,0.02
muonsam,8550,0.3822,0.02
muonsam,8600,0.3894,0.02
muonsam,8650,0.3520,0.02
muonsam,8700,0.3409,0.02
muonsam,8750,0.3546,0.02
muonsam,8800,0.3769,0.02
muonsam,8850,0.3752,0.02
muonsam,8900,0.3909,0.02
muonsam,8950,0.3973,0.02
muonsam,9000,0.3972,0.02
muonsam,9050,0.3419,0.02
muonsam,9100,0.3574,0.02
muonsam,9150,0.3697,0.02
muonsam,9200,0.3725,0.02
muonsam,9250,0.3869,0.02
muonsam,9300,0.3994,0.02
muonsam,9350,0.4025,0.02
muonsam,9400,0.3939,0.02
muonsam,9450,0.3598,0.02
muonsam,9500,0.3700,0.02
muonsam,9550,0.3653,0.02
muonsam,9600,0.3878,0.02
muonsam,9650,0.3910,0.02
muonsam,9700,0.4066,0.02
muonsam,9750,0.4158,0.02
muonsam,9800,0.3879,0.02
muonsam,9850,0.3617,0.02
muonsam,9900,0.3687,0.02
muonsam,9950,0.3659,0.02
muonsam,10000,0.3768,0.02
muonsam,10050,0.4130,0.02
muonsam,10100,0.4104,0.02
