# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
muonsam,50,1.5488,0.02
muonsam,100,1.0641,0.02
muonsam,150,0.8758,0.02
muonsam,200,0.7380,0.02
muonsam,250,0.6449,0.02
muonsam,300,0.5948,0.02
muonsam,350,0.5135,0.02
muonsam,400,0.4767,0.02
muonsam,450,0.4383,0.02
muonsam,500,0.4066,0.02
muonsam,550,0.3746,0.02
muonsam,600,0.3748,0.02
muonsam,650,0.3135,0.02
muonsam,700,0.2990,0.02
muonsam,750,0.2952,0.02
muonsam,800,0.2721,0.02
muonsam,850,0.2540,0.02
muonsam,900,0.2285,0.02
muonsam,950,0.2271,0.02
muonsam,1000,0.2033,0.02
muonsam,1050,0.1957,0.02
muonsam,1100,0.1985,0.02
muonsam,1150,0.1695,0.02
muonsam,1200,0.1836,0.02
muonsam,1250,0.1716,0.02
muonsam,1300,0.1656,0.02
muonsam,1350,0.1831,0.02
muonsam,1400,0.1965,0.02
muonsam,1450,0.1991,0.02
muonsam,1500,0.1956,0.02
muonsam,1550,0.1806,0.02
muonsam,1600,0.1772,0.02
muonsam,1650,0.1543,0.02
muonsam,1700,0.1574,0.02
muonsam,1750,0.1757,0.02
muonsam,1800,0.1471,0.02
muonsam,1850,0.1466,0.02
muonsam,1900,0.1342,0.02
muonsam,1950,0.1305,0.02
muonsam,2000,0.1307,0.02
muonsam,2050,0.1305,0.02
muonsam,2100,0.1134,0.02
muonsam,2150,0.1166,0.02
muonsam,2200,0.1200,0.02
muonsam,2250,0.1127,0.02
muonsam,2300,0.1031,0.02
muonsam,2350,0.1038,0.02
muonsam,2400,0.1140,0.02
muonsam,2450,0.1059,0.02
muonsam,2500,0.0930,0.02
muonsam,2550,0.1034,0.02
muonsam,2600,0.0995,0.02
muonsam,2650,0.1033,0.02
muonsam,2700,0.0901,0.02
muonsam,2750,0.0968,0.02
muonsam,2800,0.0959,0.02
muonsam,2850,0.0769,0.02
muonsam,2900,0.1038,0.02
muonsam,2950,0.0877,0.02
muonsam,3000,0.0797,0.02
muonsam,3050,0.0823,0.02
muonsam,3100,0.0827,0.02
muonsam,3150,0.0823,0.02
muonsam,3200,0.0745,0.02
muonsam,3250,0.0732,0.02
muonsam,3300,0.0684,0.02
muonsam,3350,0.0816,0.02
muonsam,3400,0.0703,0.02
muonsam,3450,0.0680,0.02
muonsam,3500,0.0684,0.02
muonsam,3550,0.0795,0.02
muonsam,3600,0.0691,0.02
muonsam,3650,0.0716,0.02
muonsam,3700,0.0745,0.02
