# dataset=imagenette px=64 epochs=50 seed=1 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
adamw,1,1.7264,50.93,1.5070,31.3,0.001
adamw,2,1.2885,50.65,1.4904,62.3,0.001
adamw,3,1.1158,62.88,1.1426,94.4,0.001
adamw,4,1.0196,68.79,0.9751,127.8,0.001
adamw,5,0.9229,66.52,1.0362,162.1,0.001
adamw,6,0.8655,71.52,0.9379,197.5,0.001
adamw,7,0.8234,67.62,1.0371,233.7,0.001
adamw,8,0.7761,71.29,0.9180,271.2,0.001
adamw,9,0.7354,72.71,0.8700,309.4,0.001
adamw,10,0.6950,73.61,0.8450,347.7,0.001
adamw,11,0.6538,74.75,0.8096,385.9,0.001
adamw,12,0.6398,66.42,1.1636,424.0,0.001
adamw,13,0.5996,73.43,0.8596,462.2,0.001
adamw,14,0.5657,78.04,0.7215,500.6,0.001
adamw,15,0.5622,77.20,0.7332,538.8,0.001
adamw,16,0.5280,76.46,0.8085,577.0,0.001
adamw,17,0.5133,73.94,0.8333,615.2,0.001
adamw,18,0.4937,78.57,0.7003,653.1,0.001
adamw,19,0.4632,79.72,0.6562,691.1,0.001
adamw,20,0.4545,82.04,0.5977,728.9,0.001
adamw,21,0.4271,79.90,0.6286,766.8,0.001
adamw,22,0.4073,79.85,0.6726,804.5,0.001
adamw,23,0.4159,79.24,0.7168,842.4,0.001
adamw,24,0.4130,80.13,0.6994,880.5,0.001
adamw,25,0.3850,80.82,0.6672,918.8,0.001
adamw,26,0.3722,77.55,0.8599,957.1,0.001
adamw,27,0.3722,77.10,0.7961,995.3,0.001
adamw,28,0.3433,81.12,0.6558,1033.3,0.001
adamw,29,0.3524,82.52,0.6277,1071.4,0.001
adamw,30,0.3408,83.13,0.5461,1109.8,0.001
adamw,31,0.3258,84.00,0.5286,1148.0,0.001
adamw,32,0.2865,78.24,0.7456,1186.2,0.001
adamw,33,0.3071,83.41,0.5674,1224.5,0.001
adamw,34,0.2929,79.21,0.8103,1262.6,0.001
adamw,35,0.2804,83.54,0.6151,1300.6,0.001
adamw,36,0.2800,83.82,0.5438,1338.5,0.001
adamw,37,0.2688,84.56,0.5331,1376.5,0.001
adamw,38,0.2711,83.13,0.5930,1414.9,0.001
adamw,39,0.2444,82.11,0.6879,1453.2,0.001
adamw,40,0.2627,82.83,0.6768,1491.4,0.001
adamw,41,0.2451,79.34,0.7082,1529.7,0.001
adamw,42,0.2290,84.99,0.5141,1567.7,0.001
adamw,43,0.2195,82.27,0.6539,1605.7,0.001
adamw,44,0.2056,83.69,0.5711,1643.6,0.001
adamw,45,0.2221,82.50,0.6494,1681.8,0.001
adamw,46,0.2126,85.07,0.5067,1720.1,0.001
adamw,47,0.2170,84.13,0.6409,1758.3,0.001
