# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
muonsam,50,1.7696,0.02
muonsam,100,1.3702,0.02
muonsam,150,1.1383,0.02
muonsam,200,0.9627,0.02
muonsam,250,0.8708,0.02
muonsam,300,0.7926,0.02
muonsam,350,0.7402,0.02
muonsam,400,0.6829,0.02
muonsam,450,0.6061,0.02
muonsam,500,0.5860,0.02
muonsam,550,0.5832,0.02
muonsam,600,0.5561,0.02
muonsam,650,0.5524,0.02
muonsam,700,0.5191,0.02
muonsam,750,0.5085,0.02
muonsam,800,0.4533,0.02
muonsam,850,0.4442,0.02
muonsam,900,0.4265,0.02
muonsam,950,0.4419,0.02
muonsam,1000,0.4239,0.02
muonsam,1050,0.4043,0.02
muonsam,1100,0.4040,0.02
muonsam,1150,0.3921,0.02
muonsam,1200,0.3574,0.02
muonsam,1250,0.3396,0.02
muonsam,1300,0.3357,0.02
muonsam,1350,0.3622,0.02
muonsam,1400,0.3501,0.02
muonsam,1450,0.3445,0.02
muonsam,1500,0.3511,0.02
muonsam,1550,0.3342,0.02
muonsam,1600,0.2802,0.02
muonsam,1650,0.2896,0.02
muonsam,1700,0.2874,0.02
muonsam,1750,0.2999,0.02
muonsam,1800,0.3042,0.02
muonsam,1850,0.2811,0.02
muonsam,1900,0.2864,0.02
muonsam,1950,0.2723,0.02
muonsam,2000,0.2416,0.02
muonsam,2050,0.2251,0.02
muonsam,2100,0.2341,0.02
muonsam,2150,0.2662,0.02
muonsam,2200,0.2360,0.02
muonsam,2250,0.2382,0.02
muonsam,2300,0.2555,0.02
muonsam,2350,0.2729,0.02
muonsam,2400,0.2040,0.02
muonsam,2450,0.2103,0.02
muonsam,2500,0.2212,0.02
muonsam,2550,0.2022,0.02
muonsam,2600,0.2166,0.02
muonsam,2650,0.2232,0.02
muonsam,2700,0.2373,0.02
muonsam,2750,0.2080,0.02
muonsam,2800,0.1891,0.02
muonsam,2850,0.1874,0.02
muonsam,2900,0.1765,0.02
muonsam,2950,0.1881,0.02
muonsam,3000,0.1923,0.02
muonsam,3050,0.1937,0.02
muonsam,3100,0.1904,0.02
muonsam,3150,0.1688,0.02
muonsam,3200,0.1538,0.02
muonsam,3250,0.1645,0.02
muonsam,3300,0.1670,0.02
muonsam,3350,0.1714,0.02
muonsam,3400,0.1817,0.02
muonsam,3450,0.1719,0.02
muonsam,3500,0.1687,0.02
muonsam,3550,0.1525,0.02
muonsam,3600,0.1412,0.02
muonsam,3650,0.1554,0.02
muonsam,3700,0.1532,0.02
muonsam,3750,0.1469,0.02
muonsam,3800,0.1456,0.02
muonsam,3850,0.1575,0.02
muonsam,3900,0.1597,0.02
muonsam,3950,0.1284,0.02
muonsam,4000,0.1356,0.02
muonsam,4050,0.1327,0.02
muonsam,4100,0.1355,0.02
muonsam,4150,0.1369,0.02
muonsam,4200,0.1287,0.02
muonsam,4250,0.1421,0.02
muonsam,4300,0.1519,0.02
muonsam,4350,0.1040,0.02
muonsam,4400,0.1250,0.02
muonsam,4450,0.1093,0.02
muonsam,4500,0.1255,0.02
muonsam,4550,0.1268,0.02
muonsam,4600,0.1285,0.02
muonsam,4650,0.1176,0.02
muonsam,4700,0.1310,0.02
muonsam,4750,0.1049,0.02
muonsam,4800,0.1077,0.02
muonsam,4850,0.1063,0.02
muonsam,4900,0.1143,0.02
muonsam,4950,0.1229,0.02
muonsam,5000,0.1173,0.02
muonsam,5050,0.1197,0.02
muonsam,5100,0.1141,0.02
muonsam,5150,0.0962,0.02
muonsam,5200,0.1041,0.02
muonsam,5250,0.1023,0.02
muonsam,5300,0.1011,0.02
muonsam,5350,0.1136,0.02
muonsam,5400,0.1021,0.02
muonsam,5450,0.1193,0.02
muonsam,5500,0.0942,0.02
muonsam,5550,0.0816,0.02
muonsam,5600,0.0911,0.02
muonsam,5650,0.0956,0.02
muonsam,5700,0.0938,0.02
muonsam,5750,0.0896,0.02
muonsam,5800,0.1069,0.02
muonsam,5850,0.0963,0.02
muonsam,5900,0.0953,0.02
muonsam,5950,0.0825,0.02
muonsam,6000,0.0925,0.02
muonsam,6050,0.0880,0.02
muonsam,6100,0.0879,0.02
muonsam,6150,0.0907,0.02
muonsam,6200,0.0855,0.02
muonsam,6250,0.0969,0.02
muonsam,6300,0.0957,0.02
muonsam,6350,0.0904,0.02
muonsam,6400,0.1050,0.02
muonsam,6450,0.1001,0.02
muonsam,6500,0.1043,0.02
muonsam,6550,0.1200,0.02
muonsam,6600,0.1164,0.02
muonsam,6650,0.1184,0.02
muonsam,6700,0.1037,0.02
muonsam,6750,0.1109,0.02
muonsam,6800,0.1079,0.02
muonsam,6850,0.1168,0.02
muonsam,6900,0.1079,0.02
muonsam,6950,0.1127,0.02
muonsam,7000,0.1124,0.02
muonsam,7050,0.1101,0.02
muonsam,7100,0.0974,0.02
muonsam,7150,0.0987,0.02
muonsam,7200,0.1001,0.02
muonsam,7250,0.1070,0.02
muonsam,7300,0.1019,0.02
muonsam,7350,0.1129,0.02
muonsam,7400,0.1108,0.02
muonsam,7450,0.1027,0.02
muonsam,7500,0.1059,0.02
muonsam,7550,0.0997,0.02
muonsam,7600,0.0980,0.02
muonsam,7650,0.1031,0.02
muonsam,7700,0.1023,0.02
muonsam,7750,0.1058,0.02
muonsam,7800,0.1074,0.02
muonsam,7850,0.1122,0.02
muonsam,7900,0.0838,0.02
muonsam,7950,0.1002,0.02
muonsam,8000,0.1018,0.02
muonsam,8050,0.0981,0.02
muonsam,8100,0.0938,0.02
muonsam,8150,0.1085,0.02
muonsam,8200,0.1130,0.02
muonsam,8250,0.0895,0.02
muonsam,8300,0.0819,0.02
muonsam,8350,0.0878,0.02
muonsam,8400,0.0965,0.02
muonsam,8450,0.0975,0.02
muonsam,8500,0.0960,0.02
muonsam,8550,0.0939,0.02
muonsam,8600,0.0954,0.02
muonsam,8650,0.0844,0.02
muonsam,8700,0.0848,0.02
muonsam,8750,0.0897,0.02
muonsam,8800,0.0944,0.02
muonsam,8850,0.0918,0.02
muonsam,8900,0.0884,0.02
muonsam,8950,0.0871,0.02
muonsam,9000,0.0888,0.02
muonsam,9050,0.0875,0.02
muonsam,9100,0.0728,0.02
muonsam,9150,0.0863,0.02
muonsam,9200,0.1004,0.02
muonsam,9250,0.0946,0.02
muonsam,9300,0.0849,0.02
muonsam,9350,0.0835,0.02
muonsam,9400,0.0881,0.02
muonsam,9450,0.0802,0.02
muonsam,9500,0.0783,0.02
muonsam,9550,0.0917,0.02
muonsam,9600,0.0915,0.02
muonsam,9650,0.0836,0.02
muonsam,9700,0.0821,0.02
muonsam,9750,0.0847,0.02
muonsam,9800,0.0837,0.02
muonsam,9850,0.0653,0.02
muonsam,9900,0.0701,0.02
muonsam,9950,0.0727,0.02
muonsam,10000,0.0816,0.02
muonsam,10050,0.0622,0.02
muonsam,10100,0.0864,0.02
muonsam,10150,0.0792,0.02
muonsam,10200,0.0669,0.02
muonsam,10250,0.0701,0.02
muonsam,10300,0.0640,0.02
muonsam,10350,0.0638,0.02
muonsam,10400,0.0767,0.02
muonsam,10450,0.0666,0.02
muonsam,10500,0.0825,0.02
muonsam,10550,0.0737,0.02
muonsam,10600,0.0655,0.02
muonsam,10650,0.0544,0.02
muonsam,10700,0.0630,0.02
muonsam,10750,0.0604,0.02
muonsam,10800,0.0647,0.02
muonsam,10850,0.0601,0.02
muonsam,10900,0.0698,0.02
muonsam,10950,0.0759,0.02
muonsam,11000,0.0589,0.02
muonsam,11050,0.0531,0.02
muonsam,11100,0.0544,0.02
muonsam,11150,0.0645,0.02
muonsam,11200,0.0655,0.02
muonsam,11250,0.0536,0.02
muonsam,11300,0.0574,0.02
muonsam,11350,0.0484,0.02
muonsam,11400,0.0452,0.02
muonsam,11450,0.0530,0.02
muonsam,11500,0.0510,0.02
muonsam,11550,0.0473,0.02
muonsam,11600,0.0492,0.02
muonsam,11650,0.0550,0.02
muonsam,11700,0.0477,0.02
muonsam,11750,0.0481,0.02
muonsam,11800,0.0444,0.02
muonsam,11850,0.0364,0.02
muonsam,11900,0.0426,0.02
muonsam,11950,0.0505,0.02
muonsam,12000,0.0383,0.02
muonsam,12050,0.0413,0.02
muonsam,12100,0.0432,0.02
muonsam,12150,0.0333,0.02
muonsam,12200,0.0415,0.02
muonsam,12250,0.0401,0.02
muonsam,12300,0.0407,0.02
muonsam,12350,0.0342,0.02
muonsam,12400,0.0326,0.02
muonsam,12450,0.0380,0.02
muonsam,12500,0.0404,0.02
muonsam,12550,0.0374,0.02
muonsam,12600,0.0362,0.02
muonsam,12650,0.0413,0.02
muonsam,12700,0.0352,0.02
muonsam,12750,0.0343,0.02
muonsam,12800,0.0323,0.02
muonsam,12850,0.0347,0.02
muonsam,12900,0.0337,0.02
muonsam,12950,0.0295,0.02
muonsam,13000,0.0359,0.02
muonsam,13050,0.0398,0.02
muonsam,13100,0.0352,0.02
muonsam,13150,0.0307,0.02
muonsam,13200,0.0358,0.02
muonsam,13250,0.0302,0.02
muonsam,13300,0.0328,0.02
muonsam,13350,0.0289,0.02
muonsam,13400,0.0294,0.02
muonsam,13450,0.0285,0.02
muonsam,13500,0.0328,0.02
muonsam,13550,0.0354,0.02
muonsam,13600,0.0343,0.02
muonsam,13650,0.0373,0.02
muonsam,13700,0.0318,0.02
muonsam,13750,0.0287,0.02
muonsam,13800,0.0350,0.02
muonsam,13850,0.0370,0.02
muonsam,13900,0.0345,0.02
muonsam,13950,0.0304,0.02
muonsam,14000,0.0333,0.02
muonsam,14050,0.0305,0.02
