# dataset=cifar100 px=32 epochs=50 seed=0 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
adamw,1,3.6428,21.08,3.2024,44.2,0.001
adamw,2,2.7804,33.62,2.5725,88.1,0.001
adamw,3,2.2682,41.01,2.2571,134.4,0.001
adamw,4,1.9476,43.56,2.1276,180.3,0.001
adamw,5,1.7124,49.37,1.8667,226.5,0.001
adamw,6,1.5434,53.72,1.6796,272.5,0.001
adamw,7,1.3863,52.75,1.7700,318.6,0.001
adamw,8,1.2673,56.99,1.5950,364.8,0.001
adamw,9,1.1529,58.03,1.5210,410.9,0.001
adamw,10,1.0541,61.53,1.4061,457.1,0.001
adamw,11,0.9635,58.39,1.5945,503.2,0.001
adamw,12,0.8835,61.99,1.4244,549.2,0.001
adamw,13,0.8045,62.37,1.4289,595.1,0.001
adamw,14,0.7297,64.19,1.3439,641.2,0.001
adamw,15,0.6659,64.10,1.3825,687.3,0.001
adamw,16,0.6060,64.37,1.4615,733.4,0.001
adamw,17,0.5469,63.93,1.4953,779.4,0.001
adamw,18,0.4935,65.70,1.4290,825.5,0.001
adamw,19,0.4497,65.95,1.4626,871.6,0.001
adamw,20,0.3994,66.01,1.4658,917.7,0.001
adamw,21,0.3632,66.32,1.4907,963.8,0.001
adamw,22,0.3230,65.94,1.5880,1010.0,0.001
adamw,23,0.3034,66.88,1.5636,1056.2,0.001
adamw,24,0.2795,66.82,1.5696,1102.2,0.001
adamw,25,0.2478,66.26,1.6229,1148.3,0.001
adamw,26,0.2404,66.12,1.7135,1194.4,0.001
adamw,27,0.2140,67.14,1.6931,1240.5,0.001
adamw,28,0.1996,67.59,1.7206,1286.5,0.001
adamw,29,0.1872,66.00,1.8314,1332.6,0.001
adamw,30,0.1868,67.11,1.7616,1378.7,0.001
adamw,31,0.1671,67.07,1.7267,1424.8,0.001
adamw,32,0.1620,66.96,1.8054,1470.8,0.001
adamw,33,0.1531,67.41,1.8637,1517.0,0.001
adamw,34,0.1472,66.55,1.9152,1563.1,0.001
adamw,35,0.1422,66.94,1.8924,1609.1,0.001
adamw,36,0.1394,66.74,1.9599,1655.2,0.001
adamw,37,0.1318,68.28,1.8547,1701.2,0.001
adamw,38,0.1174,68.21,1.8484,1747.4,0.001
adamw,39,0.1138,68.20,1.9123,1793.4,0.001
adamw,40,0.1183,67.02,2.0431,1839.5,0.001
adamw,41,0.1200,67.93,1.9518,1885.6,0.001
adamw,42,0.1020,67.61,1.9921,1931.7,0.001
adamw,43,0.1064,67.90,1.9984,1977.8,0.001
adamw,44,0.0999,68.08,2.0656,2023.9,0.001
adamw,45,0.1031,66.56,2.1227,2070.0,0.001
adamw,46,0.1036,67.66,1.9740,2116.1,0.001
adamw,47,0.0905,68.15,2.0127,2162.1,0.001
adamw,48,0.0890,68.04,2.0294,2208.2,0.001
adamw,49,0.0855,69.08,1.9860,2254.3,0.001
adamw,50,0.0942,68.18,2.0405,2300.3,0.001
muon,1,3.0591,40.40,2.2548,70.8,0.02
muon,2,1.8710,52.76,1.7402,141.1,0.02
muon,3,1.4559,57.04,1.5776,211.7,0.02
muon,4,1.2104,61.54,1.3909,282.3,0.02
muon,5,1.0229,64.28,1.3062,352.8,0.02
muon,6,0.8805,65.12,1.3015,423.3,0.02
muon,7,0.7511,67.00,1.2448,493.7,0.02
muon,8,0.6523,67.54,1.2535,564.1,0.02
muon,9,0.5605,68.43,1.2303,634.6,0.02
muon,10,0.4845,68.34,1.3036,705.2,0.02
muon,11,0.4189,68.85,1.2796,775.7,0.02
