# dataset=imagenette px=64 epochs=50 seed=1 batch=128 wd=0.0005 rho_max=0.2 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam,1,1.4428,57.38,1.4777,35.4,0.02
muonsam,2,0.9035,73.32,0.8355,69.4,0.02
muonsam,3,0.7067,73.68,0.8161,104.6,0.02
muonsam,4,0.5942,79.85,0.6238,140.4,0.02
muonsam,5,0.4929,80.69,0.5944,175.7,0.02
muonsam,6,0.4419,84.00,0.5183,211.1,0.02
muonsam,7,0.4054,79.69,0.6620,246.7,0.02
muonsam,8,0.3607,82.75,0.5978,282.2,0.02
muonsam,9,0.3241,86.01,0.4558,317.8,0.02
muonsam,10,0.2918,86.04,0.4632,353.4,0.02
muonsam,11,0.2710,83.03,0.5806,389.2,0.02
muonsam,12,0.2484,87.75,0.4036,424.9,0.02
muonsam,13,0.2348,86.60,0.4407,460.6,0.02
muonsam,14,0.1996,85.96,0.4909,496.2,0.02
muonsam,15,0.1851,85.99,0.4887,531.7,0.02
muonsam,16,0.1706,84.87,0.4928,577.2,0.02
muonsam,17,0.1690,88.28,0.3578,623.2,0.02
muonsam,18,0.1748,90.39,0.3187,669.4,0.02
muonsam,19,0.1956,89.45,0.3426,715.5,0.02
muonsam,20,0.1920,89.07,0.3521,761.5,0.02
muonsam,21,0.1839,88.54,0.3645,807.2,0.02
muonsam,22,0.1725,88.71,0.3585,853.2,0.02
muonsam,23,0.1696,90.19,0.3229,899.3,0.02
muonsam,24,0.1562,88.64,0.3577,945.4,0.02
muonsam,25,0.1632,90.39,0.3207,991.6,0.02
muonsam,26,0.1534,90.32,0.3245,1037.2,0.02
muonsam,27,0.1615,89.53,0.3257,1083.3,0.02
muonsam,28,0.1622,88.08,0.3961,1129.4,0.02
muonsam,29,0.1518,89.17,0.3509,1175.5,0.02
muonsam,30,0.1392,90.22,0.3110,1221.6,0.02
muonsam,31,0.1356,90.01,0.3176,1267.3,0.02
muonsam,32,0.1214,91.11,0.2893,1313.3,0.02
muonsam,33,0.1253,90.47,0.3149,1359.4,0.02
muonsam,34,0.1097,90.83,0.2927,1405.6,0.02
muonsam,35,0.1185,90.62,0.3127,1451.6,0.02
muonsam,36,0.1144,90.09,0.3085,1497.3,0.02
muonsam,37,0.1121,89.48,0.3209,1543.4,0.02
muonsam,38,0.1062,90.19,0.3085,1589.5,0.02
muonsam,39,0.1114,90.98,0.2808,1635.6,0.02
muonsam,40,0.1139,91.01,0.2994,1681.7,0.02
muonsam,41,0.1080,91.54,0.2764,1727.3,0.02
muonsam,42,0.1044,90.62,0.2980,1773.4,0.02
muonsam,43,0.1014,90.22,0.3001,1819.5,0.02
muonsam,44,0.0897,90.73,0.2925,1865.6,0.02
muonsam,45,0.0899,91.41,0.2768,1911.8,0.02
muonsam,46,0.0859,91.59,0.2793,1957.4,0.02
muonsam,47,0.0916,91.01,0.2898,2003.5,0.02
muonsam,48,0.0877,91.92,0.2712,2049.5,0.02
muonsam,49,0.0826,91.06,0.2913,2095.6,0.02
muonsam,50,0.0856,91.80,0.2630,2141.7,0.02
