# dataset=imagenette px=64 epochs=50 seed=2 batch=128 wd=0.0005 rho_max=0.2 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam,1,1.4369,52.28,1.8334,35.2,0.02
muonsam,2,0.9130,66.98,1.1178,70.1,0.02
muonsam,3,0.7381,77.94,0.6916,107.3,0.02
muonsam,4,0.6172,74.96,0.8212,145.8,0.02
muonsam,5,0.5157,76.18,0.8091,183.1,0.02
muonsam,6,0.4640,83.82,0.5145,221.3,0.02
muonsam,7,0.3949,82.45,0.5631,259.3,0.02
muonsam,8,0.3565,84.87,0.4696,297.1,0.02
muonsam,9,0.3199,82.55,0.5608,335.1,0.02
muonsam,10,0.2949,84.59,0.4909,373.3,0.02
muonsam,11,0.2557,85.40,0.5147,411.7,0.02
muonsam,12,0.2309,86.34,0.4651,450.1,0.02
muonsam,13,0.2276,87.01,0.4271,488.6,0.02
muonsam,14,0.2144,86.73,0.4766,526.9,0.02
muonsam,15,0.1831,87.11,0.4318,565.3,0.02
muonsam,16,0.1811,87.36,0.4205,613.9,0.02
muonsam,17,0.1685,87.54,0.3920,663.1,0.02
muonsam,18,0.1797,88.10,0.3674,712.3,0.02
muonsam,19,0.1994,88.74,0.3586,761.5,0.02
muonsam,20,0.2079,88.13,0.3723,810.6,0.02
muonsam,21,0.2045,88.99,0.3522,859.1,0.02
muonsam,22,0.1962,89.48,0.3452,908.1,0.02
muonsam,23,0.1724,90.24,0.3396,957.2,0.02
muonsam,24,0.1763,90.19,0.3249,1006.4,0.02
muonsam,25,0.1580,88.92,0.3597,1055.7,0.02
muonsam,26,0.1768,87.85,0.3928,1104.4,0.02
muonsam,27,0.1607,89.35,0.3405,1153.5,0.02
muonsam,28,0.1373,89.89,0.3313,1202.6,0.02
muonsam,29,0.1464,89.50,0.3401,1251.6,0.02
muonsam,30,0.1342,90.39,0.3247,1300.5,0.02
muonsam,31,0.1407,88.99,0.3600,1349.0,0.02
muonsam,32,0.1329,89.48,0.3443,1398.2,0.02
muonsam,33,0.1239,90.32,0.3115,1447.3,0.02
muonsam,34,0.1227,90.37,0.2998,1496.3,0.02
muonsam,35,0.1262,90.06,0.3263,1545.4,0.02
muonsam,36,0.1161,91.41,0.2908,1594.1,0.02
muonsam,37,0.1085,90.52,0.3023,1643.3,0.02
muonsam,38,0.1062,91.21,0.2859,1692.3,0.02
muonsam,39,0.0956,90.83,0.2966,1741.3,0.02
muonsam,40,0.1046,91.72,0.2706,1790.4,0.02
muonsam,41,0.0916,91.29,0.2890,1839.4,0.02
muonsam,42,0.1035,90.83,0.2888,1888.5,0.02
muonsam,43,0.0976,91.06,0.2866,1937.4,0.02
muonsam,44,0.0861,91.31,0.2847,1986.3,0.02
muonsam,45,0.0961,91.29,0.2877,2035.4,0.02
muonsam,46,0.0877,91.08,0.3007,2084.2,0.02
muonsam,47,0.0991,91.85,0.2754,2133.5,0.02
muonsam,48,0.0884,91.26,0.2791,2182.0,0.02
muonsam,49,0.0904,91.87,0.2775,2230.9,0.02
muonsam,50,0.0796,91.72,0.2779,2279.9,0.02
