# dataset=imagenette px=64 epochs=50 seed=1 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam,1,1.4411,58.60,1.4907,35.7,0.02
muonsam,2,0.9086,73.83,0.8187,71.5,0.02
muonsam,3,0.7170,75.49,0.7533,107.3,0.02
muonsam,4,0.6029,79.75,0.6397,143.1,0.02
muonsam,5,0.5054,80.23,0.6136,178.8,0.02
muonsam,6,0.4512,82.50,0.5595,214.6,0.02
muonsam,7,0.4108,81.04,0.5992,250.5,0.02
muonsam,8,0.3641,84.36,0.5147,286.3,0.02
muonsam,9,0.3251,84.76,0.5069,322.2,0.02
muonsam,10,0.2927,81.04,0.6199,358.0,0.02
muonsam,11,0.2676,84.79,0.5271,393.9,0.02
muonsam,12,0.2532,85.76,0.4776,429.7,0.02
muonsam,13,0.2349,86.75,0.4490,465.4,0.02
muonsam,14,0.2091,85.91,0.4634,501.2,0.02
muonsam,15,0.1872,85.15,0.5237,537.0,0.02
muonsam,16,0.1728,86.80,0.4352,582.7,0.02
muonsam,17,0.1729,88.69,0.3707,629.0,0.02
muonsam,18,0.1717,88.46,0.3533,675.2,0.02
muonsam,19,0.1849,89.12,0.3529,721.6,0.02
muonsam,20,0.1817,88.54,0.3661,767.9,0.02
muonsam,21,0.1835,89.04,0.3520,813.7,0.02
muonsam,22,0.1575,88.46,0.3733,860.0,0.02
muonsam,23,0.1489,89.50,0.3520,906.2,0.02
muonsam,24,0.1444,88.38,0.3765,952.5,0.02
muonsam,25,0.1400,90.24,0.3236,998.7,0.02
muonsam,26,0.1261,88.87,0.3579,1044.6,0.02
muonsam,27,0.1326,88.33,0.3680,1090.9,0.02
muonsam,28,0.1231,88.74,0.3772,1137.1,0.02
muonsam,29,0.1203,88.82,0.3632,1183.4,0.02
muonsam,30,0.1199,88.84,0.3488,1229.6,0.02
muonsam,31,0.1065,89.17,0.3427,1275.4,0.02
muonsam,32,0.0940,89.86,0.3155,1321.6,0.02
muonsam,33,0.0964,90.04,0.3184,1367.8,0.02
muonsam,34,0.0890,89.55,0.3258,1414.0,0.02
muonsam,35,0.0910,89.53,0.3256,1460.3,0.02
muonsam,36,0.0837,88.71,0.3314,1506.0,0.02
muonsam,37,0.0930,90.11,0.3261,1552.2,0.02
muonsam,38,0.0816,88.97,0.3400,1598.4,0.02
muonsam,39,0.0858,89.81,0.3172,1644.6,0.02
muonsam,40,0.0863,90.37,0.3162,1690.8,0.02
muonsam,41,0.0759,89.66,0.3304,1736.5,0.02
muonsam,42,0.0722,89.78,0.3340,1782.7,0.02
muonsam,43,0.0718,89.83,0.3164,1828.9,0.02
muonsam,44,0.0715,90.17,0.3204,1875.0,0.02
muonsam,45,0.0683,90.17,0.3080,1921.2,0.02
muonsam,46,0.0638,90.22,0.3197,1966.9,0.02
muonsam,47,0.0706,90.75,0.3026,2013.1,0.02
muonsam,48,0.0632,90.06,0.3135,2059.2,0.02
muonsam,49,0.0661,90.01,0.3096,2105.4,0.02
muonsam,50,0.0571,90.90,0.2913,2151.5,0.02
