# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
muonsam,50,1.5801,0.02
muonsam,100,1.0494,0.02
muonsam,150,0.8795,0.02
muonsam,200,0.7582,0.02
muonsam,250,0.6378,0.02
muonsam,300,0.6169,0.02
muonsam,350,0.5064,0.02
muonsam,400,0.4817,0.02
muonsam,450,0.4669,0.02
muonsam,500,0.4032,0.02
muonsam,550,0.3686,0.02
muonsam,600,0.3407,0.02
muonsam,650,0.3242,0.02
muonsam,700,0.2993,0.02
muonsam,750,0.2953,0.02
muonsam,800,0.2538,0.02
muonsam,850,0.2303,0.02
muonsam,900,0.2342,0.02
muonsam,950,0.2337,0.02
muonsam,1000,0.2101,0.02
muonsam,1050,0.2107,0.02
muonsam,1100,0.1817,0.02
muonsam,1150,0.1745,0.02
muonsam,1200,0.1825,0.02
muonsam,1250,0.1750,0.02
muonsam,1300,0.1653,0.02
muonsam,1350,0.1903,0.02
muonsam,1400,0.2045,0.02
muonsam,1450,0.1973,0.02
muonsam,1500,0.2245,0.02
muonsam,1550,0.1964,0.02
muonsam,1600,0.1959,0.02
muonsam,1650,0.1786,0.02
muonsam,1700,0.1781,0.02
muonsam,1750,0.1742,0.02
muonsam,1800,0.1720,0.02
muonsam,1850,0.1585,0.02
muonsam,1900,0.1697,0.02
muonsam,1950,0.1804,0.02
muonsam,2000,0.1532,0.02
muonsam,2050,0.1303,0.02
muonsam,2100,0.1521,0.02
muonsam,2150,0.1447,0.02
muonsam,2200,0.1277,0.02
muonsam,2250,0.1347,0.02
muonsam,2300,0.1470,0.02
muonsam,2350,0.1327,0.02
muonsam,2400,0.1363,0.02
muonsam,2450,0.1161,0.02
muonsam,2500,0.1177,0.02
muonsam,2550,0.1286,0.02
muonsam,2600,0.1284,0.02
muonsam,2650,0.1172,0.02
muonsam,2700,0.1050,0.02
muonsam,2750,0.1125,0.02
muonsam,2800,0.1038,0.02
muonsam,2850,0.1008,0.02
muonsam,2900,0.0953,0.02
muonsam,2950,0.1055,0.02
muonsam,3000,0.0957,0.02
muonsam,3050,0.0888,0.02
muonsam,3100,0.1056,0.02
muonsam,3150,0.1009,0.02
muonsam,3200,0.0979,0.02
muonsam,3250,0.0826,0.02
muonsam,3300,0.0917,0.02
muonsam,3350,0.0929,0.02
muonsam,3400,0.0888,0.02
muonsam,3450,0.1004,0.02
muonsam,3500,0.0915,0.02
muonsam,3550,0.0917,0.02
muonsam,3600,0.0850,0.02
muonsam,3650,0.0904,0.02
muonsam,3700,0.0791,0.02
