# dataset=imagenette128 px=128 epochs=50 seed=1 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muon,1,1.4119,46.90,2.6139,136.8,0.02
muon,2,0.8691,65.86,1.0492,283.5,0.02
muon,3,0.6850,70.09,0.9790,431.0,0.02
muon,4,0.5628,78.50,0.6869,579.1,0.02
muon,5,0.4702,77.61,0.6790,727.0,0.02
muon,6,0.4171,84.13,0.5177,875.0,0.02
muon,7,0.3760,76.71,0.7906,1023.0,0.02
muon,8,0.3263,81.35,0.6752,1170.6,0.02
muon,9,0.2918,87.08,0.4422,1319.1,0.02
muon,10,0.2681,85.53,0.4886,1466.9,0.02
muon,11,0.2440,87.13,0.4345,1614.7,0.02
muon,12,0.2277,85.76,0.4464,1762.2,0.02
muon,13,0.2007,87.92,0.4139,1910.0,0.02
muon,14,0.1750,87.13,0.4877,2057.6,0.02
muon,15,0.1667,84.97,0.5263,2205.6,0.02
muon,16,0.1545,86.14,0.4970,2353.6,0.02
muon,17,0.1428,88.51,0.3951,2501.7,0.02
muon,18,0.1354,86.78,0.4738,2649.3,0.02
muon,19,0.1296,88.97,0.3830,2797.4,0.02
muon,20,0.1148,88.38,0.4020,2946.1,0.02
muon,21,0.1036,87.67,0.4814,3094.3,0.02
muon,22,0.1066,88.05,0.4629,3242.4,0.02
muon,23,0.1009,89.04,0.4213,3390.9,0.02
muon,24,0.0997,86.75,0.5267,3539.0,0.02
muon,25,0.1021,90.01,0.3743,3686.8,0.02
muon,26,0.0815,87.90,0.4730,3834.8,0.02
muon,27,0.0878,88.71,0.4324,3983.1,0.02
muon,28,0.0854,87.97,0.4640,4131.5,0.02
muon,29,0.0804,89.27,0.4305,4279.9,0.02
muon,30,0.0840,89.83,0.4025,4428.1,0.02
muon,31,0.0762,88.41,0.4562,4575.8,0.02
muon,32,0.0664,88.48,0.4590,4724.2,0.02
muon,33,0.0690,88.48,0.4333,4872.5,0.02
muon,34,0.0681,88.79,0.4452,5020.2,0.02
muon,35,0.0663,89.50,0.4113,5168.3,0.02
muon,36,0.0612,87.82,0.5244,5316.0,0.02
muon,37,0.0618,87.80,0.5479,5464.2,0.02
muon,38,0.0593,88.43,0.4523,5612.2,0.02
muon,39,0.0588,87.13,0.5744,5760.1,0.02
muon,40,0.0652,89.22,0.4620,5908.0,0.02
muon,41,0.0554,89.10,0.4774,6055.5,0.02
muon,42,0.0537,90.04,0.4043,6203.5,0.02
muon,43,0.0529,90.14,0.3952,6351.3,0.02
muon,44,0.0481,90.29,0.4033,6499.6,0.02
muon,45,0.0488,90.65,0.3957,6647.5,0.02
muon,46,0.0478,90.32,0.4161,6795.2,0.02
muon,47,0.0520,89.35,0.4381,6943.2,0.02
muon,48,0.0492,90.09,0.4143,7091.0,0.02
muon,49,0.0541,90.24,0.4117,7239.0,0.02
muon,50,0.0430,90.34,0.3847,7387.5,0.02
muonsam,1,1.4039,55.46,1.7760,146.8,0.02
muonsam,2,0.8788,66.73,1.0425,293.9,0.02
muonsam,3,0.6873,75.62,0.7709,441.7,0.02
muonsam,4,0.5624,80.99,0.6013,589.3,0.02
muonsam,5,0.4629,80.13,0.6194,737.2,0.02
muonsam,6,0.4146,82.45,0.5563,885.2,0.02
muonsam,7,0.3756,80.99,0.6236,1033.0,0.02
muonsam,8,0.3248,81.43,0.6765,1180.7,0.02
muonsam,9,0.2910,86.11,0.4831,1328.7,0.02
muonsam,10,0.2654,85.07,0.5135,1476.6,0.02
muonsam,11,0.2352,85.53,0.4901,1624.8,0.02
muonsam,12,0.2206,85.91,0.4650,1773.1,0.02
muonsam,13,0.2007,88.41,0.4192,1920.9,0.02
muonsam,14,0.1798,84.66,0.5822,2068.7,0.02
muonsam,15,0.1643,87.52,0.4401,2217.1,0.02
muonsam,16,0.1582,84.41,0.5610,2393.9,0.02
muonsam,17,0.1540,90.39,0.3091,2572.7,0.02
muonsam,18,0.1422,89.61,0.3307,2751.1,0.02
muonsam,19,0.1482,90.29,0.3158,2930.0,0.02
muonsam,20,0.1560,90.06,0.3267,3108.4,0.02
muonsam,21,0.1643,89.73,0.3240,3285.2,0.02
muonsam,22,0.1405,90.32,0.3336,3464.1,0.02
muonsam,23,0.1416,90.65,0.3041,3642.8,0.02
muonsam,24,0.1235,91.08,0.2930,3822.0,0.02
muonsam,25,0.1244,91.57,0.2837,4000.5,0.02
muonsam,26,0.1186,90.09,0.3333,4177.6,0.02
muonsam,27,0.1213,91.01,0.2931,4356.5,0.02
muonsam,28,0.1153,91.34,0.2932,4535.3,0.02
muonsam,29,0.1140,90.39,0.3114,4713.6,0.02
muonsam,30,0.1062,90.01,0.3107,4891.6,0.02
muonsam,31,0.0918,90.96,0.2866,5068.2,0.02
muonsam,32,0.0791,91.44,0.2764,5247.3,0.02
muonsam,33,0.0760,91.41,0.2719,5425.2,0.02
muonsam,34,0.0794,91.46,0.2738,5603.8,0.02
muonsam,35,0.0769,91.49,0.2740,5781.9,0.02
muonsam,36,0.0884,91.21,0.2807,5958.5,0.02
muonsam,37,0.0767,90.68,0.2824,6137.2,0.02
muonsam,38,0.0657,91.54,0.2792,6316.0,0.02
muonsam,39,0.0619,91.62,0.2638,6494.9,0.02
muonsam,40,0.0681,91.97,0.2558,6673.1,0.02
muonsam,41,0.0597,91.41,0.2780,6850.1,0.02
muonsam,42,0.0620,91.36,0.2777,7028.7,0.02
muonsam,43,0.0629,91.75,0.2633,7207.0,0.02
muonsam,44,0.0601,91.08,0.2913,7385.4,0.02
muonsam,45,0.0540,92.08,0.2562,7564.1,0.02
muonsam,46,0.0502,92.43,0.2495,7740.7,0.02
muonsam,47,0.0592,91.54,0.2719,7918.7,0.02
muonsam,48,0.0554,92.36,0.2564,8096.6,0.02
muonsam,49,0.0573,91.85,0.2559,8274.7,0.02
muonsam,50,0.0490,91.69,0.2681,8453.2,0.02
