# dataset=cifar10 px=32 epochs=50 seed=0 batch=128 wd=0.0005 rho_max=0.4 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam,1,1.0380,73.16,0.8092,67.9,0.02
muonsam,2,0.5474,82.34,0.5240,142.5,0.02
muonsam,3,0.4131,84.01,0.4634,216.9,0.02
muonsam,4,0.3430,86.03,0.4466,291.1,0.02
muonsam,5,0.2879,88.55,0.3550,365.6,0.02
muonsam,6,0.2457,89.94,0.3212,440.2,0.02
muonsam,7,0.2173,89.75,0.3176,514.8,0.02
muonsam,8,0.1930,90.00,0.3254,588.9,0.02
muonsam,9,0.1696,90.29,0.3156,663.1,0.02
muonsam,10,0.1472,90.55,0.3335,737.3,0.02
muonsam,11,0.1344,91.77,0.2788,811.5,0.02
muonsam,12,0.1235,90.61,0.3352,885.8,0.02
muonsam,13,0.1098,90.94,0.3169,960.2,0.02
muonsam,14,0.1062,91.62,0.3020,1034.6,0.02
muonsam,15,0.0951,92.37,0.2840,1109.3,0.02
muonsam,16,0.0860,92.38,0.2359,1221.4,0.02
muonsam,17,0.0974,93.00,0.2118,1333.6,0.02
muonsam,18,0.0917,93.00,0.2194,1445.8,0.02
muonsam,19,0.0884,93.08,0.2153,1558.0,0.02
muonsam,20,0.0838,93.33,0.2067,1670.4,0.02
muonsam,21,0.0805,93.31,0.2053,1782.7,0.02
muonsam,22,0.0827,93.34,0.2076,1894.9,0.02
muonsam,23,0.0766,93.46,0.2013,2007.1,0.02
muonsam,24,0.0725,93.64,0.2025,2119.4,0.02
muonsam,25,0.0698,93.71,0.1996,2231.8,0.02
muonsam,26,0.0663,93.80,0.1967,2344.0,0.02
muonsam,27,0.0633,93.69,0.1958,2456.2,0.02
muonsam,28,0.0598,93.98,0.1938,2568.5,0.02
muonsam,29,0.0597,93.79,0.1946,2680.7,0.02
muonsam,30,0.0571,93.90,0.1980,2793.0,0.02
muonsam,31,0.0548,93.71,0.2050,2905.3,0.02
muonsam,32,0.0514,93.66,0.2038,3017.6,0.02
muonsam,33,0.0495,93.90,0.1963,3129.8,0.02
muonsam,34,0.0452,94.07,0.1918,3242.1,0.02
muonsam,35,0.0445,94.10,0.1945,3354.4,0.02
muonsam,36,0.0429,94.09,0.1916,3466.7,0.02
muonsam,37,0.0381,93.82,0.2038,3578.9,0.02
muonsam,38,0.0348,94.39,0.1947,3691.1,0.02
muonsam,39,0.0306,94.00,0.2230,3803.4,0.02
muonsam,40,0.0280,93.66,0.2193,3915.8,0.02
muonsam,41,0.0259,93.67,0.2338,4028.0,0.02
muonsam,42,0.0271,93.85,0.2237,4140.2,0.02
muonsam,43,0.0251,93.94,0.2334,4252.4,0.02
muonsam,44,0.0237,93.94,0.2273,4364.6,0.02
muonsam,45,0.0231,93.94,0.2345,4477.0,0.02
muonsam,46,0.0233,94.12,0.2324,4589.3,0.02
muonsam,47,0.0227,94.06,0.2501,4701.5,0.02
muonsam,48,0.0217,93.76,0.2467,4813.8,0.02
muonsam,49,0.0220,93.90,0.2398,4926.0,0.02
muonsam,50,0.0220,93.76,0.2419,5038.4,0.02
