# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
sam,1800,0.4975,0.05
sam,1850,0.4753,0.05
sam,1900,0.4419,0.05
sam,1950,0.4689,0.05
sam,2000,0.4345,0.05
sam,2050,0.4163,0.05
sam,2100,0.4283,0.05
sam,2150,0.4139,0.05
sam,2200,0.4192,0.05
sam,2250,0.4116,0.05
sam,2300,0.4047,0.05
sam,2350,0.3667,0.05
sam,2400,0.3751,0.05
sam,2450,0.3906,0.05
sam,2500,0.3708,0.05
sam,2550,0.3316,0.05
sam,2600,0.3529,0.05
sam,2650,0.3584,0.05
sam,2700,0.3250,0.05
sam,2750,0.3380,0.05
sam,2800,0.3198,0.05
sam,2850,0.3172,0.05
sam,2900,0.3128,0.05
sam,2950,0.3093,0.05
sam,3000,0.2874,0.05
sam,3050,0.2975,0.05
sam,3100,0.2832,0.05
sam,3150,0.2831,0.05
sam,3200,0.2728,0.05
sam,3250,0.2712,0.05
sam,3300,0.2760,0.05
sam,3350,0.2635,0.05
sam,3400,0.2561,0.05
sam,3450,0.2682,0.05
sam,3500,0.2642,0.05
sam,3550,0.2637,0.05
sam,3600,0.2496,0.05
sam,3650,0.2504,0.05
sam,3700,0.2361,0.05
muonsam,50,1.6038,0.02
muonsam,100,1.0409,0.02
muonsam,150,0.8757,0.02
muonsam,200,0.7209,0.02
muonsam,250,0.6485,0.02
muonsam,300,0.5805,0.02
muonsam,350,0.5002,0.02
muonsam,400,0.4692,0.02
muonsam,450,0.4387,0.02
muonsam,500,0.3959,0.02
muonsam,550,0.3912,0.02
muonsam,600,0.3671,0.02
muonsam,650,0.3151,0.02
muonsam,700,0.3180,0.02
muonsam,750,0.2921,0.02
muonsam,800,0.2729,0.02
muonsam,850,0.2419,0.02
muonsam,900,0.2466,0.02
muonsam,950,0.2248,0.02
muonsam,1000,0.2084,0.02
muonsam,1050,0.2065,0.02
muonsam,1100,0.1844,0.02
muonsam,1150,0.1804,0.02
muonsam,1200,0.1818,0.02
muonsam,1250,0.1796,0.02
muonsam,1300,0.1614,0.02
muonsam,1350,0.1823,0.02
muonsam,1400,0.1912,0.02
muonsam,1450,0.1708,0.02
muonsam,1500,0.1951,0.02
muonsam,1550,0.1699,0.02
muonsam,1600,0.1479,0.02
muonsam,1650,0.1374,0.02
muonsam,1700,0.1445,0.02
muonsam,1750,0.1297,0.02
muonsam,1800,0.1285,0.02
muonsam,1850,0.1452,0.02
muonsam,1900,0.1107,0.02
muonsam,1950,0.1368,0.02
muonsam,2000,0.1166,0.02
muonsam,2050,0.1199,0.02
muonsam,2100,0.1179,0.02
muonsam,2150,0.1185,0.02
muonsam,2200,0.1140,0.02
muonsam,2250,0.1129,0.02
muonsam,2300,0.1069,0.02
muonsam,2350,0.0978,0.02
muonsam,2400,0.0892,0.02
muonsam,2450,0.0982,0.02
muonsam,2500,0.0879,0.02
muonsam,2550,0.0923,0.02
muonsam,2600,0.0869,0.02
muonsam,2650,0.0915,0.02
muonsam,2700,0.0903,0.02
muonsam,2750,0.0911,0.02
muonsam,2800,0.0763,0.02
muonsam,2850,0.0735,0.02
muonsam,2900,0.0839,0.02
muonsam,2950,0.0834,0.02
muonsam,3000,0.0799,0.02
muonsam,3050,0.0702,0.02
muonsam,3100,0.0663,0.02
muonsam,3150,0.0675,0.02
muonsam,3200,0.0614,0.02
muonsam,3250,0.0686,0.02
muonsam,3300,0.0611,0.02
muonsam,3350,0.0610,0.02
muonsam,3400,0.0553,0.02
muonsam,3450,0.0624,0.02
muonsam,3500,0.0770,0.02
muonsam,3550,0.0638,0.02
muonsam,3600,0.0633,0.02
muonsam,3650,0.0649,0.02
muonsam,3700,0.0592,0.02
