# dataset=cifar10 px=32 epochs=50 seed=0 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam_nowarm,35,0.0456,92.95,0.2283,3821.8,0.02
muonsam_nowarm,36,0.0419,93.22,0.2184,3930.5,0.02
muonsam_nowarm,37,0.0393,93.36,0.2237,4039.2,0.02
muonsam_nowarm,38,0.0382,93.11,0.2250,4147.9,0.02
muonsam_nowarm,39,0.0372,93.61,0.2230,4256.6,0.02
muonsam_nowarm,40,0.0377,93.66,0.2102,4365.2,0.02
muonsam_nowarm,41,0.0352,93.88,0.2072,4473.9,0.02
muonsam_nowarm,42,0.0367,93.43,0.2185,4582.3,0.02
muonsam_nowarm,43,0.0342,93.68,0.2106,4690.8,0.02
muonsam_nowarm,44,0.0302,93.85,0.2090,4799.3,0.02
muonsam_nowarm,45,0.0304,93.68,0.2067,4908.0,0.02
muonsam_nowarm,46,0.0319,93.39,0.2134,5016.1,0.02
muonsam_nowarm,47,0.0291,93.66,0.2052,5124.3,0.02
muonsam_nowarm,48,0.0284,93.56,0.2178,5232.6,0.02
muonsam_nowarm,49,0.0245,93.48,0.2257,5340.9,0.02
muonsam_nowarm,50,0.0265,93.82,0.2052,5449.3,0.02
muonsam_gsam,1,1.0358,76.03,0.6951,72.0,0.02
muonsam_gsam,2,0.5457,83.37,0.4966,144.2,0.02
muonsam_gsam,3,0.4120,83.09,0.5050,216.4,0.02
muonsam_gsam,4,0.3409,86.73,0.4206,288.7,0.02
muonsam_gsam,5,0.2863,88.60,0.3563,360.6,0.02
muonsam_gsam,6,0.2451,89.48,0.3307,432.8,0.02
muonsam_gsam,7,0.2146,89.11,0.3411,504.8,0.02
muonsam_gsam,8,0.1914,89.36,0.3367,577.1,0.02
muonsam_gsam,9,0.1681,90.31,0.3147,649.1,0.02
muonsam_gsam,10,0.1487,90.38,0.3290,721.1,0.02
muonsam_gsam,11,0.1347,90.36,0.3235,793.2,0.02
muonsam_gsam,12,0.1242,89.69,0.3700,865.2,0.02
muonsam_gsam,13,0.1094,91.05,0.3268,937.3,0.02
muonsam_gsam,14,0.1027,91.02,0.3416,1009.4,0.02
muonsam_gsam,15,0.0990,91.92,0.2921,1081.6,0.02
muonsam_gsam,16,0.0934,92.45,0.2372,1195.4,0.02
muonsam_gsam,17,0.0995,92.37,0.2381,1309.3,0.02
muonsam_gsam,18,0.0928,92.74,0.2297,1423.3,0.02
muonsam_gsam,19,0.0920,92.94,0.2164,1537.2,0.02
muonsam_gsam,20,0.0854,92.71,0.2321,1651.2,0.02
muonsam_gsam,21,0.0837,92.80,0.2316,1765.0,0.02
muonsam_gsam,22,0.0850,93.12,0.2193,1878.9,0.02
muonsam_gsam,23,0.0854,93.19,0.2192,1992.8,0.02
muonsam_gsam,24,0.0754,93.18,0.2246,2106.6,0.02
muonsam_gsam,25,0.0747,93.54,0.2039,2220.7,0.02
