optimizer,final_acc,final_test_loss,total_s,s_per_epoch,peak_mem_mb,lr
adamw,92.16,0.3669,2204.7,44.1,830,0.001
sam,90.33,0.2886,4203.2,84.1,834,0.05
muon,93.30,0.3671,3348.4,67.0,790,0.02
muon_nomom,90.41,0.4829,3321.3,66.4,742,0.02
muonsam_nomom,93.45,0.2108,4386.4,87.7,791,0.02
muonsam,93.86,0.2017,4571.6,91.4,833,0.02
