# dataset=imagenette px=64 epochs=50 seed=0 batch=128 wd=0.0005 rho_max=0.8 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam,1,1.4135,55.16,1.4039,39.3,0.02
muonsam,2,0.9078,70.22,0.9201,78.7,0.02
muonsam,3,0.7289,75.82,0.7448,118.1,0.02
muonsam,4,0.6018,79.24,0.6634,157.7,0.02
muonsam,5,0.5086,81.71,0.5758,197.1,0.02
muonsam,6,0.4519,80.61,0.6305,236.4,0.02
muonsam,7,0.4075,84.97,0.4873,275.7,0.02
muonsam,8,0.3741,84.87,0.4729,315.1,0.02
muonsam,9,0.3141,83.80,0.5290,354.8,0.02
muonsam,10,0.2860,85.50,0.4696,394.2,0.02
muonsam,11,0.2727,86.01,0.4994,433.4,0.02
muonsam,12,0.2494,85.07,0.5123,472.8,0.02
muonsam,13,0.2203,86.45,0.5005,512.4,0.02
muonsam,14,0.2036,86.01,0.4712,552.0,0.02
muonsam,15,0.1928,86.88,0.4385,591.4,0.02
muonsam,16,0.1793,87.82,0.4004,641.5,0.02
muonsam,17,0.1820,88.48,0.3572,692.0,0.02
muonsam,18,0.2140,88.15,0.3730,742.2,0.02
muonsam,19,0.2759,87.75,0.4256,792.4,0.02
muonsam,20,0.2962,89.12,0.4009,843.0,0.02
muonsam,21,0.2879,89.07,0.4059,893.2,0.02
muonsam,22,0.2841,88.87,0.3851,944.0,0.02
muonsam,23,0.2758,89.22,0.3941,994.5,0.02
muonsam,24,0.2866,89.66,0.3629,1044.7,0.02
muonsam,25,0.2470,89.17,0.3708,1095.3,0.02
muonsam,26,0.2420,89.71,0.3606,1145.6,0.02
muonsam,27,0.2203,88.36,0.4129,1196.3,0.02
muonsam,28,0.2235,89.20,0.3491,1246.7,0.02
muonsam,29,0.2129,90.93,0.3376,1297.2,0.02
muonsam,30,0.2278,89.61,0.3560,1347.8,0.02
muonsam,31,0.1980,90.17,0.3424,1398.0,0.02
muonsam,32,0.1891,90.60,0.3352,1448.6,0.02
muonsam,33,0.1776,90.85,0.3203,1499.2,0.02
muonsam,34,0.1788,90.73,0.3205,1549.8,0.02
muonsam,35,0.1607,90.11,0.3301,1600.5,0.02
muonsam,36,0.1516,90.09,0.3131,1650.5,0.02
muonsam,37,0.1308,90.90,0.3076,1700.7,0.02
muonsam,38,0.1292,91.16,0.2951,1751.2,0.02
muonsam,39,0.1016,90.75,0.2972,1801.7,0.02
muonsam,40,0.0919,90.68,0.2983,1852.4,0.02
muonsam,41,0.0921,90.34,0.2977,1902.4,0.02
muonsam,42,0.0793,90.34,0.2972,1952.9,0.02
muonsam,43,0.0695,91.29,0.3043,2003.6,0.02
muonsam,44,0.0649,90.57,0.3175,2054.0,0.02
muonsam,45,0.0630,91.26,0.2738,2104.5,0.02
muonsam,46,0.0607,91.18,0.2796,2154.7,0.02
muonsam,47,0.0554,90.96,0.2903,2205.1,0.02
muonsam,48,0.0523,91.46,0.2823,2255.4,0.02
muonsam,49,0.0569,90.52,0.3094,2305.8,0.02
muonsam,50,0.0541,91.21,0.2922,2356.4,0.02
