optimizer,final_acc,final_test_loss,total_s,s_per_epoch,peak_mem_mb,lr
muonsam,93.86,0.2038,5009.7,100.2,835,0.02
muon,92.64,0.3929,3707.7,74.2,788,0.02
adamw,92.03,0.3834,2497.7,50.0,831,0.001
sam,87.51,0.3782,4764.2,95.3,833,0.05
muonsam_nomom,92.95,0.2343,4814.4,96.3,791,0.02
muon_nomom,91.30,0.4069,3681.8,73.6,742,0.02
