# dataset=imagenette px=64 epochs=50 seed=1 batch=128 wd=0.0005 rho_max=1.6 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam,1,1.4435,54.90,1.6804,35.6,0.02
muonsam,2,0.9072,74.01,0.7939,71.2,0.02
muonsam,3,0.7128,75.82,0.7395,106.9,0.02
muonsam,4,0.5974,77.81,0.7323,142.5,0.02
muonsam,5,0.5048,78.96,0.6414,178.2,0.02
muonsam,6,0.4461,83.62,0.5255,213.9,0.02
muonsam,7,0.4082,81.15,0.5813,249.6,0.02
muonsam,8,0.3599,82.78,0.5564,285.4,0.02
muonsam,9,0.3247,84.69,0.5106,321.1,0.02
muonsam,10,0.3010,84.74,0.4863,356.7,0.02
muonsam,11,0.2667,82.47,0.5848,392.5,0.02
muonsam,12,0.2443,86.29,0.4529,428.2,0.02
muonsam,13,0.2264,86.50,0.4584,463.8,0.02
muonsam,14,0.2026,87.44,0.4385,499.5,0.02
muonsam,15,0.1791,86.68,0.4845,535.2,0.02
muonsam,16,0.1781,85.48,0.4454,580.7,0.02
muonsam,17,0.2067,88.76,0.3701,626.9,0.02
muonsam,18,0.2662,88.31,0.3998,673.1,0.02
muonsam,19,0.3392,87.82,0.4400,719.2,0.02
muonsam,20,0.3479,87.29,0.4585,765.3,0.02
muonsam,21,0.3402,87.95,0.4274,811.1,0.02
muonsam,22,0.3271,88.87,0.4120,857.2,0.02
muonsam,23,0.3100,89.45,0.4059,903.4,0.02
muonsam,24,0.3120,88.82,0.3978,949.5,0.02
muonsam,25,0.3052,90.01,0.3668,995.7,0.02
muonsam,26,0.2617,89.63,0.3879,1041.4,0.02
muonsam,27,0.2656,90.37,0.3550,1087.6,0.02
muonsam,28,0.2446,88.92,0.4016,1133.8,0.02
muonsam,29,0.2234,89.55,0.3615,1180.0,0.02
muonsam,30,0.2013,88.61,0.3782,1226.2,0.02
muonsam,31,0.1797,88.51,0.3661,1272.0,0.02
muonsam,32,0.1446,90.60,0.3259,1318.3,0.02
muonsam,33,0.1429,90.06,0.3230,1364.5,0.02
muonsam,34,0.1226,90.83,0.2958,1410.7,0.02
muonsam,35,0.1126,89.91,0.3344,1457.0,0.02
muonsam,36,0.1040,90.60,0.2992,1502.8,0.02
muonsam,37,0.0911,90.65,0.3161,1549.0,0.02
muonsam,38,0.0828,90.24,0.3043,1595.2,0.02
muonsam,39,0.0809,90.32,0.3010,1641.4,0.02
muonsam,40,0.0826,89.89,0.3251,1687.7,0.02
muonsam,41,0.0749,90.75,0.3008,1733.5,0.02
muonsam,42,0.0717,89.17,0.3437,1779.7,0.02
muonsam,43,0.0714,89.86,0.3247,1825.9,0.02
muonsam,44,0.0654,89.30,0.3389,1872.2,0.02
muonsam,45,0.0645,90.11,0.3248,1918.3,0.02
muonsam,46,0.0613,90.93,0.2933,1964.1,0.02
muonsam,47,0.0669,90.62,0.3020,2010.3,0.02
muonsam,48,0.0558,90.22,0.3282,2056.5,0.02
muonsam,49,0.0575,89.32,0.3583,2102.6,0.02
muonsam,50,0.0541,88.99,0.3811,2148.8,0.02
