# dataset=imagenette px=64 epochs=50 seed=2 batch=128 wd=0.0005 rho_max=0.1 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam,1,1.4293,52.89,1.6502,38.2,0.02
muonsam,2,0.9091,69.22,1.0398,76.2,0.02
muonsam,3,0.7408,76.99,0.7447,114.0,0.02
muonsam,4,0.6096,76.48,0.7903,152.0,0.02
muonsam,5,0.5222,81.15,0.6131,190.0,0.02
muonsam,6,0.4663,80.43,0.6378,228.2,0.02
muonsam,7,0.3935,81.81,0.5750,266.3,0.02
muonsam,8,0.3454,83.46,0.5282,304.6,0.02
muonsam,9,0.3120,81.66,0.6685,342.8,0.02
muonsam,10,0.2975,84.71,0.5143,381.2,0.02
muonsam,11,0.2514,85.78,0.4755,419.5,0.02
muonsam,12,0.2315,87.16,0.4403,457.9,0.02
muonsam,13,0.2305,84.36,0.5455,496.3,0.02
muonsam,14,0.2111,85.81,0.4919,534.6,0.02
muonsam,15,0.1810,86.34,0.4883,572.8,0.02
muonsam,16,0.1729,87.31,0.4284,621.3,0.02
muonsam,17,0.1710,88.71,0.3778,670.5,0.02
muonsam,18,0.1699,87.90,0.3750,719.7,0.02
muonsam,19,0.1996,88.82,0.3557,768.9,0.02
muonsam,20,0.1972,88.54,0.3628,818.1,0.02
muonsam,21,0.1928,87.92,0.3874,866.4,0.02
muonsam,22,0.1803,89.20,0.3467,915.4,0.02
muonsam,23,0.1449,89.94,0.3297,964.6,0.02
muonsam,24,0.1462,89.55,0.3333,1013.6,0.02
muonsam,25,0.1360,89.99,0.3295,1062.6,0.02
muonsam,26,0.1474,88.05,0.3724,1111.4,0.02
muonsam,27,0.1342,89.45,0.3369,1160.1,0.02
muonsam,28,0.1122,89.17,0.3377,1208.7,0.02
muonsam,29,0.1195,90.32,0.3225,1257.6,0.02
muonsam,30,0.1127,90.65,0.3064,1306.5,0.02
muonsam,31,0.1165,89.58,0.3298,1355.0,0.02
muonsam,32,0.1052,88.64,0.3620,1404.1,0.02
muonsam,33,0.1027,89.94,0.3169,1453.0,0.02
muonsam,34,0.0990,89.96,0.3261,1501.9,0.02
muonsam,35,0.1010,89.86,0.3185,1550.8,0.02
muonsam,36,0.0933,90.90,0.2895,1599.3,0.02
muonsam,37,0.0893,90.19,0.3034,1648.0,0.02
muonsam,38,0.0906,90.65,0.3022,1696.7,0.02
muonsam,39,0.0805,90.62,0.3086,1745.5,0.02
muonsam,40,0.0820,90.78,0.2908,1794.2,0.02
muonsam,41,0.0810,90.60,0.3059,1842.8,0.02
muonsam,42,0.0837,90.04,0.3059,1892.0,0.02
muonsam,43,0.0711,91.16,0.2816,1941.1,0.02
muonsam,44,0.0714,91.08,0.2816,1990.1,0.02
muonsam,45,0.0762,90.75,0.2874,2039.2,0.02
muonsam,46,0.0772,90.90,0.2850,2087.7,0.02
muonsam,47,0.0750,91.13,0.2877,2136.8,0.02
muonsam,48,0.0726,90.90,0.2905,2186.0,0.02
muonsam,49,0.0712,90.75,0.2921,2235.1,0.02
muonsam,50,0.0667,91.18,0.2851,2284.2,0.02
