# dataset=cifar10 px=32 epochs=50 seed=1 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
muonsam,1,1.0480,75.28,0.7587,65.9,0.02
muonsam,2,0.5485,83.29,0.4828,136.7,0.02
muonsam,3,0.4151,82.77,0.5247,206.9,0.02
muonsam,4,0.3353,86.66,0.3968,277.3,0.02
muonsam,5,0.2868,88.28,0.3568,348.0,0.02
muonsam,6,0.2433,90.51,0.2991,418.5,0.02
muonsam,7,0.2153,89.85,0.3148,489.1,0.02
muonsam,8,0.1848,89.33,0.3527,559.8,0.02
muonsam,9,0.1669,90.77,0.3068,630.3,0.02
muonsam,10,0.1485,90.74,0.3071,701.0,0.02
muonsam,11,0.1339,90.62,0.3115,771.5,0.02
muonsam,12,0.1201,91.08,0.3239,841.8,0.02
muonsam,13,0.1102,91.17,0.3124,912.5,0.02
muonsam,14,0.1034,91.25,0.3212,983.1,0.02
muonsam,15,0.0947,91.72,0.3003,1053.6,0.02
muonsam,16,0.0836,92.43,0.2339,1160.2,0.02
muonsam,17,0.0869,92.44,0.2342,1267.1,0.02
muonsam,18,0.0829,91.96,0.2432,1374.0,0.02
muonsam,19,0.0799,92.61,0.2323,1480.9,0.02
muonsam,20,0.0714,93.07,0.2138,1588.0,0.02
muonsam,21,0.0664,92.54,0.2387,1694.9,0.02
muonsam,22,0.0620,92.88,0.2280,1801.9,0.02
muonsam,23,0.0604,92.84,0.2289,1908.9,0.02
muonsam,24,0.0589,93.12,0.2180,2015.9,0.02
muonsam,25,0.0575,93.00,0.2319,2122.8,0.02
muonsam,26,0.0564,93.11,0.2136,2229.6,0.02
muonsam,27,0.0520,92.96,0.2264,2336.5,0.02
muonsam,28,0.0471,92.99,0.2193,2443.5,0.02
muonsam,29,0.0485,93.23,0.2132,2550.5,0.02
muonsam,30,0.0460,93.07,0.2173,2657.5,0.02
muonsam,31,0.0459,93.34,0.2131,2764.4,0.02
muonsam,32,0.0444,93.28,0.2149,2871.2,0.02
muonsam,33,0.0401,93.17,0.2291,2978.1,0.02
muonsam,34,0.0394,93.27,0.2159,3084.9,0.02
muonsam,35,0.0407,93.56,0.2107,3191.9,0.02
muonsam,36,0.0365,93.58,0.2128,3298.7,0.02
muonsam,37,0.0347,93.41,0.2172,3405.4,0.02
muonsam,38,0.0347,93.69,0.2079,3512.3,0.02
