# train_loss is the mean over the preceding 50 batches
optimizer,step,train_loss,lr
muonsam,50,1.7990,0.02
muonsam,100,1.3622,0.02
muonsam,150,1.1514,0.02
muonsam,200,0.9674,0.02
muonsam,250,0.8619,0.02
muonsam,300,0.7926,0.02
muonsam,350,0.7047,0.02
muonsam,400,0.6844,0.02
muonsam,450,0.5950,0.02
muonsam,500,0.5854,0.02
muonsam,550,0.5788,0.02
muonsam,600,0.5554,0.02
muonsam,650,0.5250,0.02
muonsam,700,0.5179,0.02
muonsam,750,0.5202,0.02
muonsam,800,0.4800,0.02
muonsam,850,0.4523,0.02
muonsam,900,0.4247,0.02
muonsam,950,0.4257,0.02
muonsam,1000,0.4182,0.02
muonsam,1050,0.4255,0.02
muonsam,1100,0.4079,0.02
muonsam,1150,0.3875,0.02
muonsam,1200,0.3758,0.02
muonsam,1250,0.3322,0.02
muonsam,1300,0.3571,0.02
muonsam,1350,0.3478,0.02
muonsam,1400,0.3379,0.02
muonsam,1450,0.3438,0.02
muonsam,1500,0.3406,0.02
muonsam,1550,0.3512,0.02
muonsam,1600,0.3094,0.02
muonsam,1650,0.2887,0.02
muonsam,1700,0.2977,0.02
muonsam,1750,0.2896,0.02
muonsam,1800,0.2883,0.02
muonsam,1850,0.2806,0.02
muonsam,1900,0.2979,0.02
muonsam,1950,0.2798,0.02
muonsam,2000,0.2408,0.02
muonsam,2050,0.2593,0.02
muonsam,2100,0.2458,0.02
muonsam,2150,0.2462,0.02
muonsam,2200,0.2495,0.02
muonsam,2250,0.2388,0.02
muonsam,2300,0.2617,0.02
muonsam,2350,0.2294,0.02
muonsam,2400,0.2091,0.02
muonsam,2450,0.2034,0.02
muonsam,2500,0.1998,0.02
muonsam,2550,0.2129,0.02
muonsam,2600,0.2118,0.02
muonsam,2650,0.2400,0.02
muonsam,2700,0.2194,0.02
muonsam,2750,0.2169,0.02
muonsam,2800,0.1795,0.02
muonsam,2850,0.1688,0.02
muonsam,2900,0.1903,0.02
muonsam,2950,0.1991,0.02
muonsam,3000,0.1780,0.02
muonsam,3050,0.2001,0.02
muonsam,3100,0.1995,0.02
muonsam,3150,0.1808,0.02
muonsam,3200,0.1593,0.02
muonsam,3250,0.1570,0.02
muonsam,3300,0.1681,0.02
muonsam,3350,0.1723,0.02
muonsam,3400,0.1648,0.02
muonsam,3450,0.1808,0.02
muonsam,3500,0.1702,0.02
muonsam,3550,0.1537,0.02
muonsam,3600,0.1404,0.02
muonsam,3650,0.1452,0.02
muonsam,3700,0.1524,0.02
muonsam,3750,0.1487,0.02
muonsam,3800,0.1407,0.02
muonsam,3850,0.1557,0.02
muonsam,3900,0.1472,0.02
muonsam,3950,0.1314,0.02
muonsam,4000,0.1401,0.02
muonsam,4050,0.1382,0.02
muonsam,4100,0.1285,0.02
muonsam,4150,0.1340,0.02
muonsam,4200,0.1382,0.02
muonsam,4250,0.1222,0.02
muonsam,4300,0.1394,0.02
muonsam,4350,0.1170,0.02
muonsam,4400,0.1129,0.02
muonsam,4450,0.1178,0.02
muonsam,4500,0.1179,0.02
muonsam,4550,0.1216,0.02
muonsam,4600,0.1294,0.02
muonsam,4650,0.1284,0.02
muonsam,4700,0.1312,0.02
muonsam,4750,0.0966,0.02
muonsam,4800,0.1029,0.02
muonsam,4850,0.1076,0.02
muonsam,4900,0.1021,0.02
muonsam,4950,0.1118,0.02
muonsam,5000,0.1197,0.02
muonsam,5050,0.1137,0.02
muonsam,5100,0.1046,0.02
muonsam,5150,0.0914,0.02
muonsam,5200,0.1020,0.02
muonsam,5250,0.1055,0.02
muonsam,5300,0.0999,0.02
muonsam,5350,0.1074,0.02
muonsam,5400,0.1145,0.02
muonsam,5450,0.1100,0.02
muonsam,5500,0.0977,0.02
muonsam,5550,0.0882,0.02
muonsam,5600,0.0941,0.02
muonsam,5650,0.0893,0.02
muonsam,5700,0.0921,0.02
muonsam,5750,0.0977,0.02
muonsam,5800,0.0963,0.02
muonsam,5850,0.1036,0.02
muonsam,5900,0.0877,0.02
muonsam,5950,0.0799,0.02
muonsam,6000,0.0872,0.02
muonsam,6050,0.0770,0.02
muonsam,6100,0.0837,0.02
muonsam,6150,0.0929,0.02
muonsam,6200,0.1025,0.02
muonsam,6250,0.1052,0.02
muonsam,6300,0.0879,0.02
muonsam,6350,0.0797,0.02
muonsam,6400,0.0801,0.02
muonsam,6450,0.0882,0.02
muonsam,6500,0.0875,0.02
muonsam,6550,0.0873,0.02
muonsam,6600,0.0989,0.02
muonsam,6650,0.0978,0.02
muonsam,6700,0.0783,0.02
muonsam,6750,0.0724,0.02
muonsam,6800,0.0786,0.02
muonsam,6850,0.0866,0.02
muonsam,6900,0.0804,0.02
muonsam,6950,0.0774,0.02
muonsam,7000,0.0925,0.02
muonsam,7050,0.0712,0.02
muonsam,7100,0.0648,0.02
muonsam,7150,0.0757,0.02
muonsam,7200,0.0802,0.02
muonsam,7250,0.0734,0.02
muonsam,7300,0.0791,0.02
muonsam,7350,0.0888,0.02
muonsam,7400,0.0804,0.02
muonsam,7450,0.0704,0.02
muonsam,7500,0.0571,0.02
muonsam,7550,0.0685,0.02
muonsam,7600,0.0725,0.02
muonsam,7650,0.0661,0.02
muonsam,7700,0.0701,0.02
muonsam,7750,0.0802,0.02
muonsam,7800,0.0710,0.02
muonsam,7850,0.0753,0.02
muonsam,7900,0.0617,0.02
muonsam,7950,0.0595,0.02
muonsam,8000,0.0623,0.02
muonsam,8050,0.0683,0.02
muonsam,8100,0.0683,0.02
muonsam,8150,0.0739,0.02
muonsam,8200,0.0734,0.02
muonsam,8250,0.0683,0.02
muonsam,8300,0.0583,0.02
muonsam,8350,0.0618,0.02
muonsam,8400,0.0648,0.02
muonsam,8450,0.0717,0.02
muonsam,8500,0.0673,0.02
muonsam,8550,0.0699,0.02
muonsam,8600,0.0801,0.02
muonsam,8650,0.0632,0.02
muonsam,8700,0.0631,0.02
muonsam,8750,0.0596,0.02
muonsam,8800,0.0656,0.02
muonsam,8850,0.0615,0.02
muonsam,8900,0.0591,0.02
muonsam,8950,0.0600,0.02
muonsam,9000,0.0645,0.02
muonsam,9050,0.0562,0.02
muonsam,9100,0.0553,0.02
muonsam,9150,0.0501,0.02
muonsam,9200,0.0590,0.02
muonsam,9250,0.0540,0.02
muonsam,9300,0.0629,0.02
muonsam,9350,0.0657,0.02
muonsam,9400,0.0553,0.02
muonsam,9450,0.0504,0.02
muonsam,9500,0.0461,0.02
muonsam,9550,0.0595,0.02
muonsam,9600,0.0552,0.02
muonsam,9650,0.0601,0.02
muonsam,9700,0.0660,0.02
muonsam,9750,0.0607,0.02
muonsam,9800,0.0566,0.02
muonsam,9850,0.0459,0.02
muonsam,9900,0.0451,0.02
muonsam,9950,0.0604,0.02
muonsam,10000,0.0506,0.02
muonsam,10050,0.0517,0.02
muonsam,10100,0.0555,0.02
muonsam,10150,0.0555,0.02
muonsam,10200,0.0534,0.02
muonsam,10250,0.0460,0.02
muonsam,10300,0.0537,0.02
muonsam,10350,0.0536,0.02
muonsam,10400,0.0598,0.02
muonsam,10450,0.0552,0.02
muonsam,10500,0.0592,0.02
muonsam,10550,0.0523,0.02
muonsam,10600,0.0464,0.02
muonsam,10650,0.0506,0.02
muonsam,10700,0.0499,0.02
muonsam,10750,0.0539,0.02
muonsam,10800,0.0500,0.02
muonsam,10850,0.0501,0.02
muonsam,10900,0.0520,0.02
muonsam,10950,0.0519,0.02
muonsam,11000,0.0431,0.02
muonsam,11050,0.0424,0.02
muonsam,11100,0.0437,0.02
muonsam,11150,0.0438,0.02
muonsam,11200,0.0441,0.02
muonsam,11250,0.0481,0.02
muonsam,11300,0.0512,0.02
muonsam,11350,0.0419,0.02
muonsam,11400,0.0447,0.02
muonsam,11450,0.0423,0.02
muonsam,11500,0.0400,0.02
muonsam,11550,0.0520,0.02
muonsam,11600,0.0526,0.02
muonsam,11650,0.0443,0.02
muonsam,11700,0.0517,0.02
muonsam,11750,0.0495,0.02
muonsam,11800,0.0398,0.02
muonsam,11850,0.0435,0.02
muonsam,11900,0.0381,0.02
muonsam,11950,0.0470,0.02
muonsam,12000,0.0470,0.02
muonsam,12050,0.0436,0.02
muonsam,12100,0.0459,0.02
muonsam,12150,0.0330,0.02
muonsam,12200,0.0391,0.02
muonsam,12250,0.0410,0.02
muonsam,12300,0.0397,0.02
muonsam,12350,0.0410,0.02
muonsam,12400,0.0440,0.02
muonsam,12450,0.0435,0.02
muonsam,12500,0.0490,0.02
muonsam,12550,0.0385,0.02
muonsam,12600,0.0373,0.02
muonsam,12650,0.0389,0.02
muonsam,12700,0.0350,0.02
muonsam,12750,0.0388,0.02
muonsam,12800,0.0498,0.02
muonsam,12850,0.0399,0.02
muonsam,12900,0.0448,0.02
muonsam,12950,0.0337,0.02
muonsam,13000,0.0330,0.02
muonsam,13050,0.0336,0.02
muonsam,13100,0.0386,0.02
muonsam,13150,0.0332,0.02
muonsam,13200,0.0391,0.02
muonsam,13250,0.0414,0.02
muonsam,13300,0.0398,0.02
muonsam,13350,0.0317,0.02
muonsam,13400,0.0333,0.02
muonsam,13450,0.0374,0.02
muonsam,13500,0.0388,0.02
muonsam,13550,0.0412,0.02
muonsam,13600,0.0451,0.02
muonsam,13650,0.0407,0.02
muonsam,13700,0.0375,0.02
muonsam,13750,0.0349,0.02
muonsam,13800,0.0371,0.02
muonsam,13850,0.0347,0.02
muonsam,13900,0.0378,0.02
muonsam,13950,0.0425,0.02
muonsam,14000,0.0417,0.02
muonsam,14050,0.0377,0.02
muonsam,14100,0.0351,0.02
muonsam,14150,0.0337,0.02
muonsam,14200,0.0379,0.02
muonsam,14250,0.0330,0.02
muonsam,14300,0.0362,0.02
muonsam,14350,0.0324,0.02
muonsam,14400,0.0406,0.02
muonsam,14450,0.0405,0.02
muonsam,14500,0.0390,0.02
muonsam,14550,0.0329,0.02
muonsam,14600,0.0349,0.02
muonsam,14650,0.0368,0.02
muonsam,14700,0.0344,0.02
muonsam,14750,0.0312,0.02
muonsam,14800,0.0350,0.02
muonsam,14850,0.0368,0.02
muonsam,14900,0.0316,0.02
muonsam,14950,0.0309,0.02
muonsam,15000,0.0342,0.02
muonsam,15050,0.0348,0.02
muonsam,15100,0.0388,0.02
muonsam,15150,0.0405,0.02
muonsam,15200,0.0371,0.02
muonsam,15250,0.0333,0.02
muonsam,15300,0.0272,0.02
muonsam,15350,0.0271,0.02
muonsam,15400,0.0317,0.02
muonsam,15450,0.0377,0.02
muonsam,15500,0.0343,0.02
muonsam,15550,0.0434,0.02
muonsam,15600,0.0392,0.02
muonsam,15650,0.0300,0.02
muonsam,15700,0.0322,0.02
muonsam,15750,0.0300,0.02
muonsam,15800,0.0296,0.02
muonsam,15850,0.0334,0.02
muonsam,15900,0.0366,0.02
muonsam,15950,0.0304,0.02
muonsam,16000,0.0340,0.02
muonsam,16050,0.0313,0.02
muonsam,16100,0.0287,0.02
muonsam,16150,0.0251,0.02
muonsam,16200,0.0301,0.02
muonsam,16250,0.0321,0.02
muonsam,16300,0.0309,0.02
muonsam,16350,0.0306,0.02
muonsam,16400,0.0341,0.02
muonsam,16450,0.0332,0.02
muonsam,16500,0.0275,0.02
muonsam,16550,0.0248,0.02
muonsam,16600,0.0343,0.02
muonsam,16650,0.0296,0.02
muonsam,16700,0.0272,0.02
muonsam,16750,0.0333,0.02
muonsam,16800,0.0347,0.02
muonsam,16850,0.0276,0.02
muonsam,16900,0.0282,0.02
muonsam,16950,0.0293,0.02
muonsam,17000,0.0272,0.02
muonsam,17050,0.0280,0.02
muonsam,17100,0.0337,0.02
muonsam,17150,0.0310,0.02
muonsam,17200,0.0352,0.02
muonsam,17250,0.0311,0.02
muonsam,17300,0.0260,0.02
muonsam,17350,0.0260,0.02
muonsam,17400,0.0244,0.02
muonsam,17450,0.0257,0.02
muonsam,17500,0.0286,0.02
muonsam,17550,0.0275,0.02
muonsam,17600,0.0313,0.02
muonsam,17650,0.0258,0.02
muonsam,17700,0.0267,0.02
muonsam,17750,0.0236,0.02
muonsam,17800,0.0263,0.02
muonsam,17850,0.0314,0.02
muonsam,17900,0.0268,0.02
muonsam,17950,0.0330,0.02
muonsam,18000,0.0246,0.02
muonsam,18050,0.0233,0.02
muonsam,18100,0.0242,0.02
muonsam,18150,0.0309,0.02
muonsam,18200,0.0305,0.02
muonsam,18250,0.0266,0.02
muonsam,18300,0.0246,0.02
muonsam,18350,0.0285,0.02
muonsam,18400,0.0272,0.02
muonsam,18450,0.0240,0.02
muonsam,18500,0.0233,0.02
muonsam,18550,0.0230,0.02
muonsam,18600,0.0257,0.02
muonsam,18650,0.0264,0.02
muonsam,18700,0.0291,0.02
muonsam,18750,0.0263,0.02
muonsam,18800,0.0247,0.02
muonsam,18850,0.0187,0.02
muonsam,18900,0.0285,0.02
muonsam,18950,0.0314,0.02
muonsam,19000,0.0287,0.02
muonsam,19050,0.0295,0.02
muonsam,19100,0.0264,0.02
muonsam,19150,0.0189,0.02
muonsam,19200,0.0234,0.02
muonsam,19250,0.0219,0.02
