# dataset=cifar10 px=32 epochs=50 seed=2 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,test_loss,time_s,lr
adamw,1,1.3381,56.34,1.3287,42.9,0.001
adamw,2,0.8641,71.17,0.8389,86.0,0.001
adamw,3,0.6736,73.48,0.8025,130.5,0.001
adamw,4,0.5702,77.12,0.7196,174.4,0.001
adamw,5,0.5000,82.02,0.5463,218.6,0.001
adamw,6,0.4437,83.45,0.4923,262.8,0.001
adamw,7,0.3957,83.77,0.4937,307.0,0.001
adamw,8,0.3626,85.94,0.4392,351.2,0.001
adamw,9,0.3358,85.28,0.4605,395.4,0.001
adamw,10,0.3067,85.89,0.4372,439.5,0.001
adamw,11,0.2829,87.24,0.3850,483.6,0.001
adamw,12,0.2591,87.52,0.4001,527.9,0.001
adamw,13,0.2428,88.86,0.3540,572.2,0.001
adamw,14,0.2266,88.09,0.3694,616.3,0.001
adamw,15,0.2077,87.66,0.4009,660.5,0.001
adamw,16,0.1939,87.40,0.4237,704.6,0.001
adamw,17,0.1897,87.55,0.4095,748.8,0.001
adamw,18,0.1688,90.03,0.3409,793.0,0.001
adamw,19,0.1535,89.75,0.3669,837.1,0.001
adamw,20,0.1519,90.09,0.3371,881.3,0.001
adamw,21,0.1391,90.38,0.3173,925.3,0.001
adamw,22,0.1259,89.70,0.3763,969.5,0.001
adamw,23,0.1227,90.16,0.3740,1013.7,0.001
adamw,24,0.1145,89.70,0.3763,1057.8,0.001
adamw,25,0.1081,90.70,0.3319,1102.0,0.001
adamw,26,0.1054,90.62,0.3470,1146.0,0.001
adamw,27,0.0966,90.31,0.3917,1190.2,0.001
adamw,28,0.0931,90.20,0.3647,1234.4,0.001
adamw,29,0.0832,90.41,0.3721,1278.4,0.001
adamw,30,0.0846,89.92,0.4019,1322.5,0.001
adamw,31,0.0775,90.97,0.3623,1366.6,0.001
adamw,32,0.0731,90.11,0.4133,1410.7,0.001
adamw,33,0.0725,91.05,0.3770,1454.9,0.001
adamw,34,0.0721,91.06,0.3699,1498.9,0.001
adamw,35,0.0615,90.89,0.3831,1543.1,0.001
adamw,36,0.0599,90.93,0.4000,1587.2,0.001
adamw,37,0.0646,91.52,0.3532,1631.4,0.001
adamw,38,0.0547,90.40,0.4203,1675.5,0.001
adamw,39,0.0552,91.06,0.3991,1719.6,0.001
adamw,40,0.0565,91.36,0.3791,1763.7,0.001
adamw,41,0.0508,90.41,0.4584,1807.7,0.001
adamw,42,0.0517,91.49,0.3707,1851.8,0.001
adamw,43,0.0491,91.95,0.3785,1895.9,0.001
adamw,44,0.0425,91.97,0.3624,1940.0,0.001
adamw,45,0.0426,91.09,0.4202,1984.1,0.001
adamw,46,0.0478,91.53,0.3795,2028.3,0.001
adamw,47,0.0419,91.69,0.3778,2072.5,0.001
adamw,48,0.0405,91.78,0.3817,2116.5,0.001
adamw,49,0.0398,91.96,0.3812,2160.7,0.001
adamw,50,0.0422,92.16,0.3669,2204.7,0.001
sam,1,1.8072,44.82,1.5006,84.2,0.05
sam,2,1.2600,59.25,1.1359,168.3,0.05
sam,3,0.9679,65.40,0.9763,252.5,0.05
sam,4,0.7974,69.69,0.8840,336.8,0.05
sam,5,0.6691,77.39,0.6735,421.0,0.05
sam,6,0.5778,80.85,0.5651,505.3,0.05
sam,7,0.5141,80.51,0.5556,589.5,0.05
sam,8,0.4713,82.05,0.5336,673.6,0.05
sam,9,0.4363,84.05,0.4637,757.9,0.05
sam,10,0.4033,84.57,0.4471,842.0,0.05
sam,11,0.3768,85.21,0.4333,926.1,0.05
sam,12,0.3548,85.56,0.4154,1010.2,0.05
sam,13,0.3370,86.19,0.4117,1094.3,0.05
sam,14,0.3229,85.67,0.4203,1178.4,0.05
sam,15,0.3091,85.60,0.4168,1262.5,0.05
sam,16,0.2995,88.21,0.3522,1346.5,0.05
sam,17,0.2904,84.41,0.4474,1430.6,0.05
sam,18,0.2847,88.41,0.3434,1514.6,0.05
sam,19,0.2654,88.47,0.3508,1598.8,0.05
sam,20,0.2686,87.90,0.3558,1682.8,0.05
sam,21,0.2598,86.84,0.3864,1766.9,0.05
sam,22,0.2499,87.43,0.3717,1851.0,0.05
sam,23,0.2428,88.82,0.3327,1935.1,0.05
sam,24,0.2413,89.56,0.3059,2019.2,0.05
sam,25,0.2364,88.73,0.3302,2103.2,0.05
sam,26,0.2294,89.29,0.3089,2187.3,0.05
sam,27,0.2208,89.68,0.3078,2271.4,0.05
sam,28,0.2201,89.53,0.3052,2355.3,0.05
sam,29,0.2148,89.66,0.3065,2439.4,0.05
sam,30,0.2148,89.39,0.3156,2523.4,0.05
sam,31,0.2067,87.19,0.3779,2607.4,0.05
sam,32,0.2088,90.10,0.2896,2691.5,0.05
sam,33,0.2013,89.92,0.3019,2775.5,0.05
sam,34,0.1965,88.99,0.3248,2859.4,0.05
sam,35,0.1956,89.17,0.3202,2943.3,0.05
sam,36,0.1968,90.47,0.2938,3027.3,0.05
sam,37,0.1930,89.47,0.3265,3111.4,0.05
sam,38,0.1836,90.36,0.2803,3195.4,0.05
sam,39,0.1856,88.98,0.3214,3279.4,0.05
sam,40,0.1830,90.25,0.2842,3363.4,0.05
sam,41,0.1818,89.96,0.2997,3447.4,0.05
sam,42,0.1812,89.42,0.3166,3531.4,0.05
sam,43,0.1814,89.17,0.3223,3615.4,0.05
sam,44,0.1756,88.90,0.3288,3699.4,0.05
sam,45,0.1756,90.13,0.3007,3783.4,0.05
sam,46,0.1745,91.92,0.2472,3867.3,0.05
sam,47,0.1721,90.50,0.2791,3951.3,0.05
sam,48,0.1715,88.76,0.3314,4035.2,0.05
sam,49,0.1728,91.57,0.2493,4119.2,0.05
sam,50,0.1675,90.33,0.2886,4203.2,0.05
muon,1,1.0572,76.63,0.6849,66.9,0.02
muon,2,0.5599,82.93,0.5109,133.8,0.02
muon,3,0.4235,84.83,0.4553,200.9,0.02
muon,4,0.3441,87.05,0.3979,267.8,0.02
muon,5,0.2868,88.53,0.3588,334.7,0.02
muon,6,0.2463,88.34,0.3687,401.9,0.02
muon,7,0.2159,90.03,0.3043,468.8,0.02
muon,8,0.1888,90.13,0.3163,535.8,0.02
muon,9,0.1690,90.23,0.3256,602.8,0.02
muon,10,0.1520,90.10,0.3395,669.8,0.02
muon,11,0.1352,91.33,0.3148,736.9,0.02
muon,12,0.1207,90.27,0.3498,803.8,0.02
muon,13,0.1111,91.80,0.2928,870.9,0.02
muon,14,0.1045,91.73,0.2963,937.8,0.02
muon,15,0.0919,91.48,0.3363,1004.7,0.02
muon,16,0.0889,91.49,0.3124,1071.7,0.02
muon,17,0.0850,91.64,0.3296,1138.7,0.02
muon,18,0.0778,91.30,0.3393,1205.7,0.02
muon,19,0.0705,92.27,0.3205,1272.7,0.02
muon,20,0.0672,92.31,0.3316,1339.5,0.02
muon,21,0.0644,92.12,0.3287,1406.5,0.02
muon,22,0.0599,92.36,0.3313,1473.5,0.02
muon,23,0.0568,92.31,0.3260,1540.5,0.02
