# dataset=imagenette px=64 epochs=50 seed=2 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,time_s,lr
muon,1,1.4246,53.53,37.0,0.02
muon,2,0.9037,66.88,77.9,0.02
muon,3,0.7412,73.86,119.2,0.02
muon,4,0.6185,76.36,159.5,0.02
muon,5,0.5145,78.88,200.9,0.02
muon,6,0.4682,82.50,241.2,0.02
muon,7,0.3944,83.03,282.2,0.02
muon,8,0.3531,85.43,322.5,0.02
muon,9,0.3163,82.39,363.0,0.02
muon,10,0.2949,84.28,403.8,0.02
muon,11,0.2473,85.96,444.6,0.02
muon,12,0.2384,86.62,485.5,0.02
muon,13,0.2357,85.83,526.5,0.02
muon,14,0.2059,85.76,567.5,0.02
muon,15,0.1741,85.68,608.3,0.02
muon,16,0.1759,86.98,649.3,0.02
muon,17,0.1682,85.17,690.3,0.02
muon,18,0.1526,87.24,731.3,0.02
muon,19,0.1550,85.99,772.2,0.02
muon,20,0.1407,86.83,812.8,0.02
muon,21,0.1298,87.54,853.5,0.02
muon,22,0.1357,85.48,894.2,0.02
muon,23,0.1198,88.18,935.0,0.02
muon,24,0.1007,88.43,976.0,0.02
muon,25,0.1107,88.00,1017.0,0.02
muon,26,0.1113,86.90,1057.6,0.02
muon,27,0.1012,88.56,1098.0,0.02
muon,28,0.0961,87.80,1138.9,0.02
muon,29,0.1012,88.08,1179.3,0.02
muon,30,0.0889,88.74,1219.8,0.02
muon,31,0.0909,87.13,1260.7,0.02
muon,32,0.0796,89.17,1301.1,0.02
muon,33,0.0813,88.48,1341.4,0.02
muon,34,0.0876,88.61,1382.3,0.02
muon,35,0.0806,87.52,1422.9,0.02
muon,36,0.0735,89.53,1463.3,0.02
muon,37,0.0723,88.66,1504.0,0.02
muon,38,0.0748,88.10,1545.0,0.02
muon,39,0.0724,88.87,1585.4,0.02
muon,40,0.0691,89.71,1625.6,0.02
muon,41,0.0686,88.00,1666.2,0.02
muon,42,0.0634,88.28,1707.1,0.02
muon,43,0.0593,89.76,1747.9,0.02
muon,44,0.0567,88.48,1788.6,0.02
muon,45,0.0604,88.66,1829.2,0.02
muon,46,0.0576,88.66,1869.8,0.02
muon,47,0.0605,89.58,1910.7,0.02
muon,48,0.0522,90.17,1951.7,0.02
muon,49,0.0532,88.18,1992.1,0.02
muon,50,0.0599,89.10,2032.4,0.02
muonsam,1,1.4313,59.44,40.6,0.02
muonsam,2,0.9070,66.70,81.3,0.02
muonsam,3,0.7330,74.29,121.9,0.02
muonsam,4,0.6088,71.18,162.6,0.02
muonsam,5,0.5140,79.75,203.6,0.02
muonsam,6,0.4685,81.50,244.4,0.02
muonsam,7,0.4020,82.42,285.2,0.02
muonsam,8,0.3600,83.75,325.6,0.02
muonsam,9,0.3182,84.54,366.3,0.02
muonsam,10,0.2974,83.95,407.0,0.02
muonsam,11,0.2453,85.30,447.7,0.02
muonsam,12,0.2334,86.80,488.4,0.02
muonsam,13,0.2257,86.06,529.3,0.02
muonsam,14,0.2075,87.11,569.6,0.02
muonsam,15,0.1842,86.22,609.9,0.02
muonsam,16,0.1823,86.24,661.6,0.02
muonsam,17,0.1739,88.92,714.1,0.02
muonsam,18,0.1773,89.02,766.2,0.02
muonsam,19,0.1933,88.28,818.3,0.02
muonsam,20,0.1959,89.40,870.9,0.02
muonsam,21,0.1805,88.54,922.8,0.02
muonsam,22,0.1696,89.68,975.1,0.02
muonsam,23,0.1482,90.37,1027.4,0.02
muonsam,24,0.1420,89.71,1079.8,0.02
muonsam,25,0.1343,89.20,1132.3,0.02
muonsam,26,0.1389,86.85,1183.9,0.02
muonsam,27,0.1298,87.90,1236.0,0.02
muonsam,28,0.1125,90.50,1288.6,0.02
muonsam,29,0.1082,89.83,1341.0,0.02
muonsam,30,0.1033,90.93,1393.2,0.02
