optimizer,epoch,train_loss,test_acc,time_s
muonsam,42,0.0301,93.39,3836.6
muonsam,43,0.0309,93.52,3940.4
muonsam,44,0.0279,93.46,4044.1
muonsam,45,0.0279,93.74,4147.9
muonsam,46,0.0273,94.01,4251.7
muonsam,47,0.0260,93.55,4355.2
muonsam,48,0.0257,94.14,4458.7
muonsam,49,0.0265,94.02,4562.2
muonsam,50,0.0252,93.89,4665.9
muonsam_nowarm,1,1.1833,72.42,103.9
muonsam_nowarm,2,0.6945,82.72,207.9
muonsam_nowarm,3,0.5349,82.85,312.0
muonsam_nowarm,4,0.4485,84.72,416.2
muonsam_nowarm,5,0.3869,88.60,520.4
muonsam_nowarm,6,0.3450,88.86,624.5
muonsam_nowarm,7,0.3048,89.81,728.5
muonsam_nowarm,8,0.2754,89.80,832.5
muonsam_nowarm,9,0.2481,89.96,936.6
muonsam_nowarm,10,0.2275,89.68,1040.7
muonsam_nowarm,11,0.2077,91.61,1144.7
muonsam_nowarm,12,0.1864,90.98,1248.7
muonsam_nowarm,13,0.1710,92.07,1352.8
muonsam_nowarm,14,0.1614,91.67,1456.8
muonsam_nowarm,15,0.1473,92.03,1561.1
muonsam_nowarm,16,0.1324,91.03,1665.1
muonsam_nowarm,17,0.1289,92.03,1769.3
muonsam_nowarm,18,0.1166,92.19,1873.3
muonsam_nowarm,19,0.1083,92.03,1977.4
muonsam_nowarm,20,0.1043,92.42,2081.6
muonsam_nowarm,21,0.0979,92.65,2185.7
muonsam_nowarm,22,0.0918,92.65,2289.8
muonsam_nowarm,23,0.0827,93.04,2393.7
muonsam_nowarm,24,0.0817,92.75,2497.8
muonsam_nowarm,25,0.0772,93.45,2601.9
muonsam_nowarm,26,0.0701,92.94,2705.9
muonsam_nowarm,27,0.0668,93.05,2809.9
muonsam_nowarm,28,0.0624,93.04,2913.9
muonsam_nowarm,29,0.0580,93.11,3017.8
muonsam_nowarm,30,0.0592,93.14,3121.8
muonsam_nowarm,31,0.0568,93.35,3225.6
muonsam_nowarm,32,0.0545,93.10,3329.4
muonsam_nowarm,33,0.0498,93.14,3433.2
muonsam_nowarm,34,0.0469,92.98,3536.8
muonsam_nowarm,35,0.0449,93.35,3640.6
muonsam_nowarm,36,0.0426,93.43,3744.3
muonsam_nowarm,37,0.0452,93.30,3847.9
muonsam_nowarm,38,0.0413,93.71,3951.5
muonsam_nowarm,39,0.0377,93.33,4055.1
muonsam_nowarm,40,0.0370,93.79,4158.7
muonsam_nowarm,41,0.0352,93.02,4262.1
muonsam_nowarm,42,0.0349,93.02,4365.5
muonsam_nowarm,43,0.0346,93.50,4468.8
muonsam_nowarm,44,0.0312,93.51,4572.1
muonsam_nowarm,45,0.0324,93.28,4675.4
muonsam_nowarm,46,0.0313,92.92,4778.7
muonsam_nowarm,47,0.0290,93.30,4881.8
muonsam_nowarm,48,0.0292,93.52,4985.1
muonsam_nowarm,49,0.0267,93.81,5088.2
muonsam_nowarm,50,0.0279,93.67,5191.6
