optimizer,epoch,train_loss,test_acc,time_s
muonsam_asam,22,0.0876,93.55,1929.2
muonsam_asam,23,0.0879,93.22,2042.9
muonsam_asam,24,0.0772,93.38,2156.1
muonsam_asam,25,0.0776,93.76,2269.9
muonsam_asam,26,0.0730,93.91,2383.3
muonsam_asam,27,0.0700,93.71,2497.0
muonsam_asam,28,0.0697,94.23,2610.4
muonsam_asam,29,0.0659,94.19,2724.1
muonsam_asam,30,0.0591,93.81,2837.8
muonsam_asam,31,0.0572,94.07,2951.4
muonsam_asam,32,0.0494,93.85,3064.9
muonsam_asam,33,0.0412,93.76,3178.2
muonsam_asam,34,0.0359,93.77,3291.6
muonsam_asam,35,0.0327,93.58,3405.4
muonsam_asam,36,0.0313,93.64,3518.6
muonsam_asam,37,0.0308,93.53,3632.0
muonsam_asam,38,0.0288,93.65,3745.3
muonsam_asam,39,0.0293,93.78,3858.4
muonsam_asam,40,0.0283,93.88,3972.0
muonsam_asam,41,0.0272,93.29,4085.3
muonsam_asam,42,0.0277,93.35,4198.6
muonsam_asam,43,0.0268,93.69,4311.8
muonsam_asam,44,0.0272,93.92,4425.2
muonsam_asam,45,0.0246,93.73,4538.5
muonsam_asam,46,0.0242,93.67,4651.8
muonsam_asam,47,0.0248,93.83,4765.1
muonsam_asam,48,0.0244,93.44,4878.2
muonsam_asam,49,0.0236,93.57,4991.8
muonsam_asam,50,0.0232,93.35,5105.1
muonsam_nowarm,1,1.1894,74.35,113.1
muonsam_nowarm,2,0.6926,79.61,226.4
muonsam_nowarm,3,0.5429,79.74,339.9
muonsam_nowarm,4,0.4476,85.77,453.3
muonsam_nowarm,5,0.3839,87.15,567.0
muonsam_nowarm,6,0.3391,88.90,680.5
muonsam_nowarm,7,0.3027,89.20,793.9
muonsam_nowarm,8,0.2713,90.32,907.3
muonsam_nowarm,9,0.2496,90.17,1020.7
muonsam_nowarm,10,0.2224,90.16,1134.3
muonsam_nowarm,11,0.1970,91.67,1247.8
muonsam_nowarm,12,0.1881,91.44,1361.4
muonsam_nowarm,13,0.1637,90.68,1475.0
muonsam_nowarm,14,0.1553,91.37,1588.4
muonsam_nowarm,15,0.1449,92.23,1702.1
muonsam_nowarm,16,0.1324,90.77,1815.7
muonsam_nowarm,17,0.1257,92.29,1929.2
muonsam_nowarm,18,0.1118,92.86,2042.7
muonsam_nowarm,19,0.1063,92.59,2156.3
muonsam_nowarm,20,0.0963,92.95,2269.8
muonsam_nowarm,21,0.0951,92.77,2383.3
muonsam_nowarm,22,0.0901,92.84,2496.7
muonsam_nowarm,23,0.0847,92.63,2610.0
muonsam_nowarm,24,0.0788,93.25,2723.3
muonsam_nowarm,25,0.0746,93.35,2836.8
muonsam_nowarm,26,0.0657,93.39,2950.1
muonsam_nowarm,27,0.0661,93.24,3063.2
muonsam_nowarm,28,0.0614,93.60,3176.3
muonsam_nowarm,29,0.0574,93.44,3289.3
muonsam_nowarm,30,0.0563,92.69,3402.6
muonsam_nowarm,31,0.0540,93.23,3515.5
muonsam_nowarm,32,0.0518,93.44,3628.3
muonsam_nowarm,33,0.0469,93.05,3741.2
muonsam_nowarm,34,0.0461,93.26,3853.8
muonsam_nowarm,35,0.0412,93.75,3966.7
muonsam_nowarm,36,0.0420,93.69,4079.3
muonsam_nowarm,37,0.0410,93.58,4192.2
muonsam_nowarm,38,0.0394,93.68,4304.8
muonsam_nowarm,39,0.0403,93.74,4417.2
muonsam_nowarm,40,0.0395,93.63,4530.2
muonsam_nowarm,41,0.0342,93.62,4642.6
muonsam_nowarm,42,0.0351,93.75,4755.1
muonsam_nowarm,43,0.0333,93.81,4867.6
muonsam_nowarm,44,0.0303,93.98,4980.1
muonsam_nowarm,45,0.0317,93.73,5092.7
muonsam_nowarm,46,0.0296,93.85,5205.1
muonsam_nowarm,47,0.0305,93.96,5317.5
muonsam_nowarm,48,0.0298,93.66,5429.9
muonsam_nowarm,49,0.0268,94.02,5542.4
muonsam_nowarm,50,0.0271,93.85,5654.9
