optimizer,epoch,train_loss,test_acc,time_s
muonsam,42,0.0294,93.15,4065.8
muonsam,43,0.0310,93.72,4175.4
muonsam,44,0.0282,93.69,4284.7
muonsam,45,0.0277,93.85,4394.7
muonsam,46,0.0255,93.62,4504.1
muonsam,47,0.0267,93.38,4613.1
muonsam,48,0.0261,93.84,4723.0
muonsam,49,0.0255,93.65,4832.1
muonsam,50,0.0241,93.83,4941.3
muonsam_nowarm,1,1.1966,71.29,109.8
muonsam_nowarm,2,0.6930,81.79,220.1
muonsam_nowarm,3,0.5366,85.68,330.0
muonsam_nowarm,4,0.4402,85.09,439.7
muonsam_nowarm,5,0.3954,87.23,549.5
muonsam_nowarm,6,0.3390,88.88,660.0
muonsam_nowarm,7,0.3071,90.56,770.1
muonsam_nowarm,8,0.2700,88.99,879.9
muonsam_nowarm,9,0.2456,90.38,989.6
muonsam_nowarm,10,0.2234,89.88,1099.8
muonsam_nowarm,11,0.2028,90.81,1210.2
muonsam_nowarm,12,0.1889,91.66,1320.1
muonsam_nowarm,13,0.1691,91.61,1429.8
muonsam_nowarm,14,0.1604,91.20,1539.6
muonsam_nowarm,15,0.1473,91.98,1650.3
muonsam_nowarm,16,0.1368,92.34,1760.0
muonsam_nowarm,17,0.1252,92.15,1869.7
muonsam_nowarm,18,0.1157,92.03,1979.3
muonsam_nowarm,19,0.1072,92.96,2089.6
muonsam_nowarm,20,0.1010,92.29,2199.8
muonsam_nowarm,21,0.0945,92.73,2309.3
muonsam_nowarm,22,0.0911,93.18,2419.1
muonsam_nowarm,23,0.0825,92.90,2528.9
muonsam_nowarm,24,0.0778,93.21,2639.3
muonsam_nowarm,25,0.0741,92.61,2748.9
muonsam_nowarm,26,0.0685,93.11,2858.4
muonsam_nowarm,27,0.0644,92.58,2968.0
muonsam_nowarm,28,0.0607,92.94,3078.4
muonsam_nowarm,29,0.0577,92.91,3187.9
muonsam_nowarm,30,0.0583,93.65,3297.6
muonsam_nowarm,31,0.0536,93.23,3407.3
muonsam_nowarm,32,0.0523,92.84,3516.9
muonsam_nowarm,33,0.0485,93.53,3626.3
muonsam_nowarm,34,0.0489,93.05,3735.6
muonsam_nowarm,35,0.0442,93.13,3845.4
muonsam_nowarm,36,0.0435,93.48,3954.9
muonsam_nowarm,37,0.0411,93.09,4064.1
muonsam_nowarm,38,0.0408,93.53,4173.2
muonsam_nowarm,39,0.0412,93.74,4283.3
muonsam_nowarm,40,0.0360,93.38,4392.3
muonsam_nowarm,41,0.0344,93.12,4501.1
muonsam_nowarm,42,0.0323,93.15,4610.2
muonsam_nowarm,43,0.0352,93.55,4719.1
muonsam_nowarm,44,0.0347,93.59,4828.1
muonsam_nowarm,45,0.0315,93.69,4937.5
muonsam_nowarm,46,0.0307,93.65,5046.4
muonsam_nowarm,47,0.0288,93.63,5154.9
muonsam_nowarm,48,0.0283,93.42,5263.9
muonsam_nowarm,49,0.0297,93.53,5372.5
muonsam_nowarm,50,0.0260,93.71,5481.1
