optimizer,epoch,train_loss,test_acc,time_s
adamw,1,1.3330,62.33,43.3
adamw,2,0.8739,73.18,87.4
adamw,3,0.6814,75.56,135.3
adamw,4,0.5739,79.20,184.6
adamw,5,0.5022,80.47,233.8
adamw,6,0.4404,82.85,282.7
adamw,7,0.3978,83.89,332.1
adamw,8,0.3668,86.24,381.0
adamw,9,0.3315,86.87,430.2
adamw,10,0.3038,86.76,479.7
adamw,11,0.2804,86.31,529.3
adamw,12,0.2638,88.09,578.8
adamw,13,0.2418,85.81,628.3
adamw,14,0.2280,88.37,677.7
adamw,15,0.2110,88.00,726.9
adamw,16,0.1929,89.30,776.0
adamw,17,0.1844,89.18,825.0
adamw,18,0.1658,89.88,873.9
adamw,19,0.1604,90.44,923.0
adamw,20,0.1485,90.49,972.2
adamw,21,0.1396,89.78,1021.5
adamw,22,0.1323,89.29,1070.7
adamw,23,0.1215,89.93,1119.9
adamw,24,0.1156,89.97,1169.1
adamw,25,0.1090,91.17,1218.3
adamw,26,0.1024,91.22,1267.5
adamw,27,0.0963,90.64,1316.7
adamw,28,0.0933,90.48,1366.0
adamw,29,0.0834,91.04,1415.3
adamw,30,0.0856,90.66,1464.5
adamw,31,0.0794,90.49,1513.6
adamw,32,0.0705,90.75,1562.4
adamw,33,0.0749,90.78,1611.1
adamw,34,0.0681,90.67,1659.9
adamw,35,0.0672,90.60,1708.8
adamw,36,0.0617,91.13,1757.8
adamw,37,0.0567,91.04,1806.8
adamw,38,0.0563,91.95,1855.8
adamw,39,0.0591,91.82,1904.9
adamw,40,0.0520,91.47,1953.9
adamw,41,0.0546,91.46,2003.0
adamw,42,0.0541,91.73,2051.9
adamw,43,0.0457,91.63,2101.0
adamw,44,0.0487,91.81,2149.9
adamw,45,0.0468,91.31,2199.0
adamw,46,0.0407,91.25,2248.0
adamw,47,0.0445,91.87,2297.1
adamw,48,0.0394,91.36,2346.1
adamw,49,0.0408,91.84,2395.2
adamw,50,0.0415,91.75,2444.2
sam,1,1.8341,46.50,94.0
sam,2,1.2528,59.29,188.3
sam,3,0.9796,67.30,282.7
sam,4,0.8010,73.84,377.0
sam,5,0.6647,78.10,471.3
sam,6,0.5768,80.60,565.5
sam,7,0.5122,80.45,659.7
sam,8,0.4667,81.21,753.7
sam,9,0.4295,85.18,847.8
sam,10,0.3924,84.52,941.9
sam,11,0.3695,85.64,1036.0
sam,12,0.3484,86.86,1130.3
sam,13,0.3300,85.38,1224.3
sam,14,0.3184,87.69,1318.1
sam,15,0.3035,87.38,1411.8
sam,16,0.2901,87.80,1505.6
sam,17,0.2796,86.00,1599.3
sam,18,0.2714,88.20,1693.0
sam,19,0.2647,87.84,1786.7
sam,20,0.2553,88.45,1880.4
sam,21,0.2506,88.99,1974.1
sam,22,0.2501,87.71,2067.8
sam,23,0.2396,86.83,2161.5
sam,24,0.2336,88.84,2255.3
sam,25,0.2275,90.36,2348.9
sam,26,0.2232,88.15,2442.7
sam,27,0.2216,89.13,2536.6
sam,28,0.2176,88.51,2630.6
sam,29,0.2121,89.29,2723.9
