# dataset=cifar100 epochs=50 seed=2 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,time_s,lr
muon,1,3.0636,38.58,66.7,0.02
muon,2,1.8787,50.59,137.1,0.02
muon,3,1.4580,56.98,209.6,0.02
muon,4,1.2160,61.01,282.0,0.02
muon,5,1.0253,62.68,354.3,0.02
muon,6,0.8827,66.20,426.9,0.02
muon,7,0.7508,66.83,499.3,0.02
muon,8,0.6493,67.83,571.4,0.02
muon,9,0.5632,67.87,643.8,0.02
muon,10,0.4788,68.99,716.3,0.02
muon,11,0.4265,68.39,788.8,0.02
muon,12,0.3650,69.38,861.1,0.02
muon,13,0.3272,69.45,933.5,0.02
muon,14,0.2961,69.26,1005.9,0.02
muon,15,0.2638,69.85,1078.3,0.02
muon,16,0.2429,68.31,1150.8,0.02
muon,17,0.2226,69.99,1223.1,0.02
muon,18,0.1989,70.58,1295.2,0.02
muon,19,0.1854,70.70,1367.6,0.02
muon,20,0.1782,70.13,1440.1,0.02
muon,21,0.1633,70.66,1512.6,0.02
muon,22,0.1517,70.19,1585.0,0.02
muon,23,0.1471,69.76,1657.4,0.02
muon,24,0.1400,71.04,1729.9,0.02
muon,25,0.1373,70.83,1802.2,0.02
muon,26,0.1286,71.01,1874.7,0.02
muon,27,0.1216,70.78,1947.1,0.02
muon,28,0.1179,70.79,2019.4,0.02
muon,29,0.1123,71.18,2091.7,0.02
muon,30,0.1083,70.20,2164.0,0.02
muon,31,0.1004,71.20,2236.2,0.02
muon,32,0.0974,70.47,2308.5,0.02
muon,33,0.0980,70.89,2380.9,0.02
muon,34,0.0924,70.49,2453.2,0.02
muon,35,0.0911,71.09,2525.5,0.02
muon,36,0.0894,71.01,2597.8,0.02
muon,37,0.0873,70.75,2670.1,0.02
muon,38,0.0854,71.19,2742.3,0.02
muon,39,0.0802,71.17,2814.6,0.02
muon,40,0.0763,70.63,2886.9,0.02
muon,41,0.0778,70.65,2959.5,0.02
muon,42,0.0748,70.57,3032.1,0.02
muon,43,0.0768,71.17,3104.7,0.02
muon,44,0.0696,70.51,3177.4,0.02
muon,45,0.0705,70.49,3250.0,0.02
muon,46,0.0685,70.35,3322.6,0.02
muon,47,0.0704,70.92,3395.2,0.02
muon,48,0.0636,70.64,3467.7,0.02
muon,49,0.0631,71.16,3540.2,0.02
muon,50,0.0633,70.56,3612.8,0.02
muonsam,1,3.0702,38.17,72.4,0.02
muonsam,2,1.8951,51.13,144.9,0.02
muonsam,3,1.4681,57.52,217.4,0.02
muonsam,4,1.2230,60.61,289.8,0.02
