# CIFAR-10 / ResNet-18 benchmark, Tesla T4 (Colab), 2026-06-21
# device=cuda | QUICK=False | epochs=50 | seed=0 | train_subset=None | test_subset=None
# Source: benchmark_cifar10.py at commit a51be2d (2026-05-27), transcribed from the Colab log.
# NOTE: "muonsam" here == momentum_mode="none" -- the prototype built before Muon momentum
#       was reintroduced, i.e. what later releases call "muonsam_nomom".
# time_s is cumulative wall-clock within each optimizer's run.
optimizer,epoch,train_loss,test_acc,time_s
muonsam,6,0.2946,86.34,419.3
muonsam,7,0.2589,87.46,488.9
muonsam,8,0.2331,88.18,559.4
muonsam,9,0.2101,89.47,629.0
muonsam,10,0.1885,89.25,699.3
muonsam,11,0.1707,89.75,768.9
muonsam,12,0.1600,90.09,840.1
muonsam,13,0.1437,89.31,909.8
muonsam,14,0.1364,89.62,980.2
muonsam,15,0.1228,90.57,1049.9
muonsam,16,0.1413,90.40,1150.8
muonsam,17,0.1653,90.23,1252.1
muonsam,18,0.1656,90.80,1353.3
muonsam,19,0.1696,90.01,1454.7
muonsam,20,0.1700,91.13,1556.2
muonsam,21,0.1671,90.73,1657.8
muonsam,22,0.1700,91.47,1759.5
muonsam,23,0.1665,90.29,1861.2
muonsam,24,0.1593,91.40,1962.9
muonsam,25,0.1567,91.53,2064.9
muonsam,26,0.1548,91.84,2166.9
muonsam,27,0.1479,91.80,2268.3
muonsam,28,0.1430,91.60,2369.7
muonsam,29,0.1408,92.44,2470.9
muonsam,30,0.1415,92.15,2572.2
muonsam,31,0.1367,91.78,2673.1
muonsam,32,0.1334,92.63,2773.9
muonsam,33,0.1250,92.24,2874.6
muonsam,34,0.1246,92.06,2975.3
muonsam,35,0.1219,92.53,3076.2
muonsam,36,0.1194,92.79,3176.8
muonsam,37,0.1168,92.50,3277.7
muonsam,38,0.1143,92.64,3378.3
muonsam,39,0.1063,92.18,3478.8
muonsam,40,0.1066,92.97,3579.5
muonsam,41,0.1053,92.88,3680.1
muonsam,42,0.1047,93.08,3780.6
muonsam,43,0.1006,92.49,3881.2
muonsam,44,0.0955,92.68,3981.8
muonsam,45,0.0945,93.23,4082.5
muonsam,46,0.0896,93.24,4183.3
muonsam,47,0.0910,93.11,4284.3
muonsam,48,0.0876,92.82,4385.3
muonsam,49,0.0872,93.04,4486.3
muonsam,50,0.0845,93.03,4587.3
