# dataset=cifar100 epochs=50 seed=1 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,time_s,lr
adamw,15,0.6758,63.86,774.8,0.001
adamw,16,0.6186,64.28,826.4,0.001
adamw,17,0.5565,63.90,878.0,0.001
adamw,18,0.4981,66.53,929.6,0.001
adamw,19,0.4494,65.05,981.1,0.001
adamw,20,0.4134,66.42,1032.8,0.001
adamw,21,0.3710,64.58,1084.4,0.001
adamw,22,0.3323,65.65,1135.8,0.001
adamw,23,0.3097,67.59,1187.1,0.001
adamw,24,0.2733,66.39,1238.4,0.001
adamw,25,0.2530,66.81,1289.6,0.001
adamw,26,0.2390,64.63,1340.9,0.001
adamw,27,0.2166,66.75,1392.4,0.001
adamw,28,0.2067,66.71,1444.1,0.001
adamw,29,0.1847,66.29,1495.7,0.001
adamw,30,0.1796,66.67,1547.3,0.001
adamw,31,0.1809,66.91,1598.9,0.001
adamw,32,0.1640,66.72,1650.8,0.001
adamw,33,0.1540,67.33,1702.7,0.001
adamw,34,0.1491,68.03,1754.5,0.001
adamw,35,0.1391,66.67,1806.2,0.001
adamw,36,0.1351,67.58,1857.8,0.001
adamw,37,0.1344,67.71,1909.3,0.001
adamw,38,0.1320,67.06,1960.7,0.001
adamw,39,0.1237,67.99,2012.2,0.001
adamw,40,0.1126,67.79,2063.6,0.001
adamw,41,0.1084,67.04,2115.0,0.001
adamw,42,0.1085,66.76,2166.5,0.001
adamw,43,0.1026,67.77,2217.9,0.001
adamw,44,0.1113,66.96,2269.0,0.001
adamw,45,0.1025,67.45,2319.9,0.001
adamw,46,0.0971,68.47,2371.0,0.001
adamw,47,0.0969,68.65,2421.9,0.001
adamw,48,0.0915,68.17,2472.6,0.001
adamw,49,0.0892,68.18,2524.0,0.001
adamw,50,0.0907,68.00,2575.1,0.001
sam,1,3.9094,15.43,98.3,0.05
sam,2,3.2377,25.35,197.5,0.05
sam,3,2.7140,31.54,297.3,0.05
sam,4,2.3009,37.86,396.8,0.05
sam,5,1.9865,46.64,496.2,0.05
sam,6,1.7759,49.48,595.6,0.05
sam,7,1.6064,53.21,694.9,0.05
sam,8,1.4801,54.20,794.0,0.05
sam,9,1.3804,56.63,892.2,0.05
sam,10,1.2867,58.69,990.6,0.05
sam,11,1.2256,59.51,1088.7,0.05
sam,12,1.1652,59.73,1187.0,0.05
sam,13,1.1089,60.25,1285.9,0.05
sam,14,1.0650,60.49,1383.8,0.05
sam,15,1.0209,63.72,1481.8,0.05
sam,16,0.9910,61.58,1579.7,0.05
sam,17,0.9507,64.26,1677.9,0.05
sam,18,0.9094,63.34,1776.1,0.05
sam,19,0.8965,63.76,1874.4,0.05
sam,20,0.8668,62.85,1972.6,0.05
sam,21,0.8487,64.03,2070.9,0.05
sam,22,0.8170,64.75,2169.0,0.05
sam,23,0.8071,65.49,2267.0,0.05
sam,24,0.7860,64.36,2364.9,0.05
sam,25,0.7608,66.30,2462.8,0.05
sam,26,0.7442,65.88,2560.8,0.05
sam,27,0.7289,66.78,2659.0,0.05
sam,28,0.7084,63.79,2757.9,0.05
sam,29,0.6984,66.08,2856.9,0.05
sam,30,0.6786,64.72,2956.0,0.05
sam,31,0.6703,65.74,3054.8,0.05
sam,32,0.6692,63.81,3153.4,0.05
sam,33,0.6556,65.43,3252.3,0.05
sam,34,0.6376,65.99,3350.8,0.05
sam,35,0.6301,66.93,3448.8,0.05
sam,36,0.6235,66.63,3546.7,0.05
sam,37,0.6148,65.31,3644.7,0.05
sam,38,0.6142,62.30,3742.6,0.05
sam,39,0.5939,65.75,3841.0,0.05
sam,40,0.5916,67.33,3939.5,0.05
sam,41,0.5807,66.05,4038.1,0.05
sam,42,0.5673,64.47,4136.7,0.05
sam,43,0.5648,64.62,4234.6,0.05
sam,44,0.5700,66.35,4332.6,0.05
sam,45,0.5609,67.13,4430.8,0.05
sam,46,0.5542,66.45,4529.2,0.05
sam,47,0.5400,65.63,4627.2,0.05
sam,48,0.5373,66.95,4725.1,0.05
sam,49,0.5363,67.25,4823.1,0.05
sam,50,0.5307,65.69,4921.6,0.05
