# dataset=cifar100 epochs=50 seed=0 batch=128 wd=0.0005 rho_max=0.05 rho_aux=0.01 torch=2.10.0+cu128
optimizer,epoch,train_loss,test_acc,time_s,lr
muon,1,3.0955,38.52,67.9,0.02
muon,2,1.8861,52.11,141.0,0.02
muon,3,1.4581,57.59,213.5,0.02
muon,4,1.2186,61.09,285.9,0.02
muon,5,1.0276,64.84,358.6,0.02
muon,6,0.8849,64.59,430.9,0.02
muon,7,0.7574,67.14,503.4,0.02
muon,8,0.6582,67.58,576.0,0.02
muon,9,0.5583,68.99,648.5,0.02
muon,10,0.4917,68.66,721.1,0.02
muon,11,0.4201,69.06,793.5,0.02
muon,12,0.3716,69.50,866.1,0.02
muon,13,0.3322,69.68,938.7,0.02
muon,14,0.2941,69.29,1011.3,0.02
muon,15,0.2636,69.87,1084.0,0.02
muon,16,0.2501,69.98,1156.4,0.02
muon,17,0.2235,70.02,1229.0,0.02
muon,18,0.2058,69.92,1301.4,0.02
muon,19,0.1883,70.78,1373.8,0.02
muon,20,0.1760,70.50,1446.5,0.02
muon,21,0.1655,70.25,1518.9,0.02
muon,22,0.1573,70.16,1591.3,0.02
muon,23,0.1500,71.03,1663.8,0.02
muon,24,0.1407,70.07,1736.2,0.02
muon,25,0.1360,70.69,1808.6,0.02
muon,26,0.1289,69.95,1881.3,0.02
muon,27,0.1226,70.05,1953.8,0.02
muon,28,0.1177,70.32,2026.1,0.02
muon,29,0.1113,69.93,2098.7,0.02
muon,30,0.1092,70.19,2171.3,0.02
muon,31,0.1049,70.16,2243.7,0.02
muon,32,0.0988,70.79,2316.1,0.02
muon,33,0.0968,70.23,2388.2,0.02
muon,34,0.0948,70.06,2460.7,0.02
muon,35,0.0928,70.89,2533.4,0.02
muon,36,0.0878,71.37,2606.0,0.02
muon,37,0.0862,71.13,2678.5,0.02
muon,38,0.0806,70.40,2751.1,0.02
muon,39,0.0780,70.85,2823.7,0.02
muon,40,0.0807,71.33,2896.1,0.02
muon,41,0.0753,70.99,2968.8,0.02
muon,42,0.0756,70.39,3041.1,0.02
muon,43,0.0752,71.25,3113.6,0.02
muon,44,0.0716,70.81,3186.2,0.02
muon,45,0.0701,70.86,3258.7,0.02
muon,46,0.0673,71.39,3331.2,0.02
muon,47,0.0682,70.47,3403.6,0.02
muon,48,0.0651,70.38,3476.1,0.02
muon,49,0.0647,70.59,3548.7,0.02
muon,50,0.0639,70.64,3621.3,0.02
muonsam,1,3.0770,40.24,72.5,0.02
muonsam,2,1.9020,51.37,145.1,0.02
muonsam,3,1.4744,56.78,217.6,0.02
muonsam,4,1.2264,60.72,290.2,0.02
muonsam,5,1.0228,64.59,362.8,0.02
muonsam,6,0.8862,64.75,435.2,0.02
muonsam,7,0.7538,67.07,507.7,0.02
muonsam,8,0.6581,66.51,580.0,0.02
muonsam,9,0.5633,68.52,652.5,0.02
muonsam,10,0.4893,68.63,725.0,0.02
muonsam,11,0.4199,69.51,797.4,0.02
muonsam,12,0.3718,68.61,870.0,0.02
muonsam,13,0.3272,68.83,942.4,0.02
muonsam,14,0.2911,68.78,1014.8,0.02
muonsam,15,0.2638,70.44,1087.3,0.02
muonsam,16,0.2422,71.13,1196.3,0.02
muonsam,17,0.2152,70.79,1305.6,0.02
muonsam,18,0.1932,71.25,1415.0,0.02
muonsam,19,0.1773,72.07,1524.4,0.02
muonsam,20,0.1613,72.04,1634.0,0.02
muonsam,21,0.1481,72.18,1743.2,0.02
muonsam,22,0.1391,72.18,1852.5,0.02
muonsam,23,0.1302,72.53,1961.9,0.02
muonsam,24,0.1206,72.51,2071.3,0.02
muonsam,25,0.1103,72.70,2180.8,0.02
muonsam,26,0.1043,72.54,2290.2,0.02
muonsam,27,0.0995,73.14,2399.5,0.02
muonsam,28,0.0925,73.29,2508.8,0.02
muonsam,29,0.0871,72.93,2618.2,0.02
muonsam,30,0.0821,73.69,2727.6,0.02
muonsam,31,0.0801,73.66,2836.8,0.02
muonsam,32,0.0750,73.74,2946.0,0.02
muonsam,33,0.0719,73.43,3055.3,0.02
muonsam,34,0.0686,73.79,3164.5,0.02
muonsam,35,0.0660,73.62,3274.0,0.02
muonsam,36,0.0639,73.35,3383.1,0.02
